ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
ВА110;Селан;3590;364.0;720.7;316;Даранская провинция;Центральная речная зона;малый торговый город
ВА111;Эран;3524;983.2;270.9;96;Доренская провинция;Центральная речная зона;малый торговый город
ВА112;Давер;3491;675.0;607.8;198;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА113;Мелтан;3461;913.0;293.1;147;Доренская провинция;Центральная речная зона;малый торговый город
ВА114;Бенел;3432;620.4;544.3;216;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА115;Лемар;3350;664.4;459.8;253;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА116;Бравен;3335;666.2;969.2;405;Венирская провинция;Северная Велара;малый торговый город
ВА117;Ланар;3264;926.0;253.9;133;Доренская провинция;Центральная речная зона;малый торговый город
ВА118;Тамар;3258;246.3;618.3;254;Севельская провинция;Центральная речная зона;малый торговый город
ВА119;Донел;3154;699.5;532.9;229;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА120;Кедал;3140;336.7;832.3;392;Ренальская провинция;Северная Велара;малый торговый город
ВА121;Каден;3139;534.2;620.1;300;Астерская провинция;Центральная речная зона;малый торговый город
ВА122;Ресел;3123;620.9;645.5;215;Астерская провинция;Центральная речная зона;малый торговый город
ВА123;Налин;3079;236.6;596.2;231;Севельская провинция;Центральная речная зона;малый торговый город
ВА124;Верен;3078;443.9;601.6;344;Даранская провинция;Центральная речная зона;малый торговый город
ВА125;Ливер;3065;407.9;577.4;327;Даранская провинция;Центральная речная зона;малый торговый город
ВА126;Медал;3025;752.8;383.1;169;Лейвенская провинция;Центральная речная зона;малый торговый город
ВА127;Терин;3000;490.0;669.0;340;Даранская провинция;Центральная речная зона;малый торговый город
