ID;Город;Население;X_км;Y_км;Высота_м;Административная_единица;Климатическая_зона;Роль
ИА057;Темир;8466;963.3;775.9;550;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА058;Русай;8222;769.6;692.8;300;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА059;Нехан;7898;405.1;272.4;51;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА060;Нахан;7742;298.8;144.5;25;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА061;Хасея;7709;985.3;852.2;603;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА062;Месея;6710;999.5;836.4;595;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА063;Зевен;6601;798.3;826.3;411;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА064;Кисера;6299;268.7;183.5;69;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА065;Машара;5820;840.0;874.2;483;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА066;Сашара;5715;352.4;159.4;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА067;Сирим;5676;812.9;623.9;325;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА068;Талан;5673;1018.0;866.1;608;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА069;Джасера;5380;249.2;162.2;81;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА070;Шамир;5326;711.9;547.2;257;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА071;Райат;5290;703.0;597.8;241;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА072;Ашимей;5211;660.6;525.2;244;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА073;Амей;5178;314.8;114.8;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА074;Васера;5150;916.6;687.0;443;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА075;Ларим;5134;859.8;680.6;401;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА076;Тешим;5015;906.5;759.6;505;Кавемаская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА077;Рулан;4947;834.8;852.9;464;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА078;Несай;4740;317.5;239.3;55;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА079;Ирия;4700;382.5;95.4;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА080;Насея;4461;527.3;411.3;205;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА081;Хамир;4455;632.9;485.4;248;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА082;Месай;4197;570.3;471.5;235;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА083;Зелан;3867;286.4;199.3;59;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА084;Кишим;3614;260.3;115.6;54;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА085;Маран;3444;743.3;576.9;268;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА086;Омей;3424;344.7;240.8;39;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА087;Сайат;3388;461.2;383.6;167;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА088;Силин;3360;474.0;403.5;188;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА089;Тамун;3278;370.1;79.3;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА090;Джамун;3272;331.5;55.4;11;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА091;Шарун;3193;837.5;702.4;390;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА092;Равар;3129;794.7;752.7;355;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА093;Ашитар;3121;554.1;425.6;221;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА094;Ашим;3116;767.2;778.1;346;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА095;Ванар;3000;280.1;120.1;35;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА096;Камей;3000;355.9;211.0;15;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА097;Лайра;3000;468.5;328.5;120;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА098;Тенар;3000;469.2;354.9;142;Тешараская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА099;Рухан;3000;831.4;825.6;442;Ишимская провинция;Хребет Каваш;земледельческий/ремесленный город
ИА100;Несея;3000;344.8;36.6;21;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА101;Ихан;3000;623.4;511.9;240;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА102;Нашара;3000;339.3;75.4;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА103;Харан;3000;351.5;180.7;10;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА104;Мерия;3000;367.7;236.2;26;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА105;Земун;3000;333.1;258.6;59;Осеисаская провинция;Побережье;земледельческий/ремесленный город
ИА106;Кивен;3000;624.8;534.2;237;Харимская провинция;Внутренние равнины;земледельческий/ремесленный город
ИА107;Мамей;3000;803.0;717.9;350;Ишимская провинция;Внутренние равнины;земледельческий/ремесленный город
