ID;Категория;Название;Уровень;Физическая основа;Роль Виза;Материалы;Fv;Bv;Энергия;Преимущество;Отказ;Стоимость
D-T01;Транспорт;Повозочный стабилизатор подвески;T1/T2;рессоры, ось, механические амортизаторы;Импульс гасит короткие пики и не даёт резонансу подвески нарастать;серый сплав, таль, малая селеновая ячейка;0.003–0.03 FU;30–120 BU/день;движение повозки/ячейка управления;меньше повреждений груза и усталости пассажира;обычная рессорная повозка;3/5
D-T02;Транспорт;Аварийный тормоз тяжёлой повозки;T2;колодки/барабан, механический рычаг;Импульс кратко перераспределяет пик торможения через раму и землю;дарн, серый сплав, веллит;0.1–0.5 FU кратко;50–200 BU;кинетическая энергия рассеивается теплом;снижает риск опрокидывания;обычные тормоза;3/5
D-T03;Транспорт;Корабельный стабилизатор качки;T3;балласт, руль, подвижная масса/гидравлический контур;Резонанс определяет фазу качки, Импульс помогает перераспределять движение в корпус/воду;риал, дарн, саэрин, таль, веллит;0.1–1 FU;1000–10000 BU/сутки;движение балласта/вода/механика;меньше качка, точнее работа в шторме;корабль остаётся обычным судном;5/5
D-T04;Транспорт;Морской резонансный навигатор;T2/T3;компас/астролябия/карты + резонаторный блок;сравнивает устойчивые береговые/геологические/магнитные сигнатуры;риал, таль, авэрин, саэрин;0.001–0.03 FU;50–300 BU/день;пассивная сенсорика/малая ячейка;помогает при облачности, но не даёт абсолютных координат;штурман возвращается к звёздам/счислению;4/5
D-T05;Транспорт;Речной шлюзовой контроллер;T2/T3;ворота, противовесы, каналы;Резонанс измеряет уровень/напряжение, контроллер синхронизирует клапаны;кельская бронза, дарн, веллит, таль;0.02–0.2 FU;100–600 BU/цикл;гравитация воды;меньше гидроударов и аварий;ручная последовательность открытия;4/5
D-T06;Транспорт;Портовый крановый синхронизатор;T2;кран, лебёдка, противовес;Импульс+Резонанс снижают раскачивание груза над палубой;дарн, риал, таль;0.05–0.3 FU;200–1000 BU/смена;механическая лебёдка;быстрее погрузка при волне;работа замедляется;4/5
D-T07;Транспорт;Караванный холодный сундук;T2;изолированный ящик, фазовый холодоаккумулятор;Терма замедляет нежелательный теплоперенос и держит фазовый переход;орель, терал, селен, сольвер;0.003–0.02 FU;50–200 BU/день;лед/испарительный холод/предварительное охлаждение;лекарства и скоропортящиеся грузы на несколько дней;становится просто хорошим термосундуком;3/5
D-T08;Транспорт;Дорожный датчик просадки;T1/T2;встроенные контрольные пластины у моста/насыпи;Резонанс выявляет изменение нагрузки/влажности/структуры;таль, веллит, нирен;пассивный/очень малый;нет/минимальный;нет постоянного;ранняя починка дороги;теряется предупреждение;2/5
D-M01;Военная;Стабилизатор станка раннего огнестрела;T2;обычный ствол/станок/пороховой заряд;"Импульс перераспределяет часть отдачи в станину и грунт; не ускоряет снаряд бесплатно";дарн, серый сплав, веллит;0.1–0.5 FU кратко;50–250 BU/серия;порох/химическая энергия;быстрее повторное наведение и меньше повреждение креплений;оружие стреляет как обычное;4/5
D-M02;Военная;Артиллерийский монитор рамы;T2;датчики на станине;Резонанс показывает накопление деформации после выстрелов;таль, авэрин, серый сплав;<0.01 FU;малый;пассивный;меньше внезапных разрушений;осмотр вручную;3/5
D-M03;Военная;Сапёрный структурный сканер;T2;контактный/ближний Резонанс зонд;ищет пустоты, трещины, слабые участки кладки;таль, веллит, мералит;0.005–0.05 FU;50–200 BU;малая ячейка;инженерная разведка стен/мостов;неопределённый сигнал, требуется физическая проверка;4/5
D-M04;Военная;Полевой медицинский Вита-набор;T1/T2;зажимы, шины, повязки, витреновые контактные пластины;малые контуры для кровотечения/стабилизации свежей травмы;витрен, веллит, нерил, серый сплав;0.01–0.1 FU;100–400 BU;метаболизм пациента + малая ячейка;увеличивает шанс пережить транспортировку;остаётся полноценным обычным медицинским набором;4/5
D-M05;Военная;Многослойный анти-перекрёстные помехи щиток прибора;T1;защитная панель/кожух;не активная магическая защита: нирен изолирует, мералит демпфирует, малая керитовая вставка фиксирует референс;нирен, мералит, серый сплав, керит;пассивный;нет;нет;защищает полевую аппаратуру от вражеских/соседних Виз-помех;трещина повышает шум;3/5
D-M06;Военная;Сигнальный Люмен-фонарь;T1/T2;яркий источник света, заслонки/линза;Люмен формирует узкий кодовый луч и заданный цвет;люмент, сольвер, веллит;0.003–0.03 FU;20–100 BU;лампа/топливо;дальняя визуальная связь ночью;обычный сигнальный фонарь;2/5
D-M07;Военная;Травматический индикатор шлема;T1;бистабильный механический маркер;Резонанс фиксирует сильный удар/опасную вибрацию головы;таль, серый сплав, мералит;пассивный/очень малый;нет;энергия удара/пружина;медик знает, кого проверять на скрытую травму;маркер не срабатывает;2/5
D-M08;Военная;Полевой референсный маяк;T2;штативный таль-авериновый резонатор;даёт согласованный локальный опорный сигнал группе приборов;таль, авэрин, саэрин, селен;0.02–0.2 FU;200–1000 BU;полевая ячейка;снижает дрейф навигационных/сапёрных приборов;каждый прибор работает по собственному референсу с большей ошибкой;4/5
D-S01;Наука;Эхометр;T3/ограничено;экранированная камера, эхолитовый сенсор, механический регистратор;измеряет H и динамику остаточного причинного отклика;эхолит, мералит, нирен, таль, авэрин;10^-4–0.01 FU;50–200 BU;малая ячейка/пружина;количественная работа с Эхо;"насыщенный сенсор врёт; требуется обнуление";5/5
D-S02;Наука;Причинный стабилометр;T3/ограничено;двойной референс и тестовый образец;оценивает эффективный Sc и локальный отклик слабого Континуум;керитовые эталоны, таль, веллит, мералит;0.001–0.02 FU;100–500 BU;лабораторная сеть;сравнивает стабилизаторы без исторической коррекции;сильный H делает результат недостоверным;5/5
D-S03;Наука;Резонансный томограф низкого разрешения;T3;кольцо/рама из множества сенсорных точек вокруг объекта;многопозиционный Резонанс строит реконструкцию внутренних неоднородностей;веллит, таль, авэрин, саэрин, мералит;0.02–0.2 FU;300–2000 BU/скан;лабораторный привод/регистратор;неразрушающая диагностика крупного объекта/органа;даёт размытую/ложную карту при движении;5/5
D-S04;Наука;Кристаллографический ориентатор;T2;вращающийся держатель и узкий Резонанс зонд;ищет оси максимальной/минимальной χ_v и Qv;таль, авэрин, веллит;0.001–0.02 FU;50–200 BU;ручной привод;правильная резка веллита/саэрина/таля;ориентация определяется грубее оптически/механически;4/5
D-S05;Наука;Карта Πv/H полевого профиля;T2/T3;полевой визометр + шаговый/геодезический журнал;"серия измерений по сетке; ничего не 'сканирует сверху'";как полевой визометр;0.001–0.02 FU;100–400 BU/день;полевая ячейка;строит карту среды экспедицией;пропуски/дрейф требуют повторного маршрута;4/5
D-S06;Наука;Многоканальный причинный регистратор;T3/ограничено;несколько независимых лент/перьев и экранированные сенсоры;одновременно пишет H, Πv, резонансные корреляции и референсный дрейф;эхолит опционально, таль, авэрин, мералит, нирен;0.005–0.05 FU;200–1000 BU;часовая механика + ячейка;показывает причинные корреляции во времени;один канал может загрязнить другой при плохом экране;5/5
D-S07;Наука;Континуум-испытательная клетка;T3/T4 ограничено;малый изолированный объём с независимыми референсами и аварийным разрывом;разрешает только слабые причинные тесты с ограниченным D/Kdepth;керит, мералит, нирен, белое стекло только как образец;0.01–0.1 FU;500–5000 BU;лабораторная инфраструктура;исследует Sc/Эхо без ретрокаузальной работы;автоматически разрывает контур и физически изолирует образец;5/5
D-S08;Наука;Высокоточный тепловизовый калориметр;T3;двойная теплоизолированная камера, весы, термометрия;Терма/Резонанс только измеряют и удерживают профиль, позволяя проверять энергетический баланс;терал, сольвер, таль, мералит;<0.05 FU;100–500 BU;обычное тепло;метрологическая основа запрета 'Виз создаёт энергию';становится менее точным обычным калориметром;4/5
