ID;Название;Область;Установка;Наблюдаемое;Ожидаемый результат;Главные погрешности;Статус
E11;Насыщение Fv;общая физика;V1-ячейка нагружается возрастающим управляющим смещением.;полезный отклик/Fv, шум;после порога рост отклика замедляется, шум и нагрев растут;дрейф материала, повреждение;доказано
E12;Матрица межшкольного отклика;единая физика;Один образец возбуждается по Импульсу, Терме и Форме малыми пробами.;L_mn;диагональные элементы доминируют, но cross-coupling ненулевой и воспроизводимый;калибровка датчиков, нелинейность;доказано
E13;Импульс и реакционная опора;Импульс;Одинаковое воздействие на тележку: оператор/актуатор жёстко закреплён и подвешен.;изменение импульса обеих частей;"полный импульс системы сохраняется; без опоры полезное действие резко падает";трение, воздух;ключевой демонстрационный опыт
E14;Терма без источника тепла;Терма;Два тела разной температуры соединены управляемым тепловым каналом.;тепловой поток, интеграл энергии;Виз меняет путь/скорость обмена, но не создаёт чистую энергию;теплопотери, калориметрия;доказано
E15;Селективная кристаллизация;химия/Форма;"Раствор даёт две конкурирующие кристаллические ориентации; слабая Форма-визограмма задаёт одну.";доля целевой ориентации;"селективность растёт, но не достигает 100%; эффект сильнее при медленном росте";чистота, скорость охлаждения;доказано
E16;Катализатор + Виз-смещение;химия;Разветвлённая реакция с реальным катализатором сравнивается с тем же процессом без смещение.;выход продуктов A/B/C;Виз-смещение меняет селективность, не нарушая материальный/энергетический баланс;температура, старение катализатора;доказано
E17;Форсированное заживление и метаболический предел;Вита;Стандартизированная тканевая культура/модель заживления при разных уровнях поддержки.;скорость закрытия, потребление O2/питательных веществ, температура;"ускорение сопровождается реальным ростом метаболического расхода; затем насыщение";биологическая вариабельность;доказано
E18;Ошибка биологического референса;Вита;Две модели ткани: корректный и намеренно смещённый референс.;устойчивость физиологических параметров;неверный референс может стабилизировать патологический бассейн;сложность модели;этически ограниченный учебный опыт
E19;Back-action Резонанса;Резонанс;Один объект измеряется пробами возрастающей амплитуды.;точность оценки и изменение объекта;точность сначала растёт, но сильная проба сама сдвигает состояние;шум датчика;доказано
E20;Релаксация одиночного Эха;Континуум;Безопасный малый причинный цикл создаёт слабый остаток и полностью отключается.;H(t);в изолированном режиме H убывает примерно как сумма экспонент;фоновые циклы, память сенсора;доказано на малых H
E21;Связанное Эхо и критическое замедление;Континуум;Несколько малых безопасных остаточных узлов связываются с регулируемым обратная связь ниже нормативного порога.;время релаксации, корреляционная длина;при росте связи время релаксации резко увеличивается ещё до опасного режима;неоднородность узлов;"доказано; прямой выход к Пределу запрещён"
E22;Стабилизированный документ;Sc/Эхо;"Две одинаковые физические записи включаются в малую причинно-корректируемую лабораторную цепь; одна имеет керитовый стабилизатор.";остаточное несоответствие после коррекции;стабилизированный носитель сохраняет больше старого состояния и создаёт локальный H;механика записи, химия носителя;редкий лицензируемый опыт
E23;Башенная узкополосная передача;дальняя связь;Две резонансные станции на известной дистанции передают фиксированные кодовые состояния.;SNR, задержка, скорость символов;"дальность растёт с Q и апертурой, но полоса/скорость падают; энергии полезной нагрузки не передаётся";геология, погода среды, синхронизация;доказано
E24;Проверка отсутствия энергетической передачи;общая физика;"Приёмник башни помещён в калориметр и механически изолирован; передаётся длительный код.";энергобаланс приёмника;после учёта локального питания нет измеримого прихода энергии, соответствующего переданному сообщению;чувствительность калориметра;доказано
