№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
38;РИ038;Арвер;14639;IV;180.6;348.4;220.6;1598.4;356;519;Селис;23;прибрежный малый город
39;РИ039;Мавир;14587;IV;166.9;209.5;206.9;1459.5;496;661;Тасар;21;прибрежный малый город
40;РИ040;Новир;14084;IV;127.8;205.9;167.8;1455.9;506;693;Лирис;21;океанский порт
41;РИ041;Нерел;13268;IV;178.7;282.4;218.7;1532.4;422;576;Вейвар;22;прибрежный малый город
42;РИ042;Сатал;12443;IV;196.0;380.9;236.0;1630.9;322;479;Кассер;21;прибрежный малый город
43;РИ043;Эсвир;12436;IV;258.8;222.8;298.8;1472.8;479;696;Атал;20;прибрежный малый город
44;РИ044;Кассен;12412;IV;198.8;231.3;238.8;1481.3;471;638;Ненар;20;прибрежный малый город
45;РИ045;Карен;11831;IV;214.0;214.2;254.0;1464.2;487;664;Кассен;23;прибрежный малый город
46;РИ046;Вейнер;11443;IV;384.9;299.4;424.9;1549.4;431;628;Орис;21;прибрежный малый город
47;РИ047;Авар;11120;IV;187.8;205.9;227.8;1455.9;497;671;Мавир;21;прибрежный малый город
48;РИ048;Феден;11018;IV;138.6;258.8;178.6;1508.8;452;632;Федал;21;океанский порт
49;РИ049;Ровир;10360;IV;221.2;171.9;261.2;1421.9;529;717;Арвен;21;прибрежный малый город
50;РИ050;Ветал;10060;IV;158.2;116.6;198.2;1366.6;589;769;Лисар;20;океанский порт
51;РИ051;Тесен;9953;IV;575.8;746.7;615.8;1996.7;349;516;Асен;21;прибрежный малый город
52;РИ052;Фарис;9824;IV;499.1;319.5;539.1;1569.5;467;540;Мариаль;27;прибрежный малый город
53;РИ053;Мемар;9750;IV;188.4;180.7;228.4;1430.7;522;698;Арвен;24;прибрежный малый город
54;РИ054;Надал;9609;IV;426.0;568.4;466.0;1818.4;237;263;Дориал;25;прибрежный малый город
55;РИ055;Тасар;9422;IV;151.4;196.1;191.4;1446.1;511;684;Мавир;21;океанский порт
56;РИ056;Армер;9074;IV;133.8;166.7;173.8;1416.7;543;723;Мамер;21;океанский порт
57;РИ057;Мавар;8549;IV;443.0;322.6;483.0;1572.6;434;562;Неран;34;прибрежный малый город
58;РИ058;Норел;7615;IV;232.7;154.3;272.7;1404.3;547;740;Ровир;21;прибрежный малый город
59;РИ059;Недал;7346;IV;169.0;149.4;209.0;1399.4;555;733;Лисар;22;прибрежный малый город
60;РИ060;Сетен;7192;IV;239.1;193.6;279.1;1443.6;508;703;Атал;28;прибрежный малый город
61;РИ061;Эсвер;7056;IV;315.9;267.5;355.9;1517.5;442;710;Вевир;29;прибрежный малый город
62;РИ062;Касрис;6943;IV;399.1;534.7;439.1;1784.7;237;272;Весен;23;прибрежный малый город
63;РИ063;Ларел;6407;IV;135.8;144.0;175.8;1394.0;565;750;Армер;23;океанский порт
64;РИ064;Вейвар;6398;IV;157.5;276.4;197.5;1526.4;431;602;Меран;21;океанский порт
65;РИ065;Атал;6327;IV;238.4;221.2;278.4;1471.2;480;674;Эсвир;20;прибрежный малый город
66;РИ066;Ферен;6311;IV;280.0;169.0;320.0;1419.0;535;759;Росер;22;прибрежный малый город
67;РИ067;Родал;6166;IV;503.0;676.4;543.0;1926.4;274;404;Сесар;22;прибрежный малый город
68;РИ068;Ранар;6098;IV;199.6;106.7;239.6;1356.7;595;786;Несен;26;океанский порт
69;РИ069;Верон;5683;IV;477.3;637.8;517.3;1887.8;255;353;Тасен;25;прибрежный малый город
70;РИ070;Лирис;5641;IV;107.3;201.7;147.3;1451.7;515;706;Наран;21;океанский порт
71;РИ071;Темар;5390;IV;195.6;408.4;235.6;1658.4;295;471;Кассер;24;прибрежный малый город
72;РИ072;Олис;5286;IV;622.7;812.6;662.7;2062.6;408;610;Эсмар;23;прибрежный малый город
73;РИ073;Фасер;5214;IV;308.0;475.7;348.0;1725.7;239;308;Ралис;29;прибрежный малый город
74;РИ074;Месар;5114;IV;168.0;319.2;208.0;1569.2;387;556;Эстен;21;прибрежный малый город
75;РИ075;Нален;4997;IV;557.9;717.4;597.9;1967.4;328;480;Мавер;24;прибрежный малый город
76;РИ076;Тасен;4864;IV;499.5;649.6;539.5;1899.6;274;378;Сесар;23;прибрежный малый город
77;РИ077;Арсар;4718;IV;169.9;252.0;209.9;1502.0;453;613;Невен;22;прибрежный малый город
78;РИ078;Мавер;4373;IV;537.4;703.9;577.4;1953.9;307;451;Кавир;22;прибрежный малый город
79;РИ079;Номар;4357;IV;281.2;462.8;321.2;1712.8;244;342;Фасер;30;прибрежный малый город
80;РИ080;Неран;4282;IV;473.4;307.1;513.4;1557.1;463;548;Фарис;29;прибрежный малый город
81;РИ081;Сесар;4244;IV;519.4;661.7;559.4;1911.7;292;404;Родал;22;прибрежный малый город
82;РИ082;Савир;4110;IV;595.7;802.0;635.7;2052.0;379;587;Фенер;20;прибрежный малый город
83;РИ083;Эсмар;3684;IV;639.3;829.1;679.3;2079.1;429;634;Олис;23;прибрежный малый город
84;РИ084;Каснер;3658;IV;332.5;500.7;372.5;1750.7;225;270;Фаден;28;прибрежный малый город
85;РИ085;Латал;3579;IV;95.5;183.0;135.5;1433.0;536;733;Наран;21;океанский порт
86;РИ086;Кадал;3502;IV;270.7;407.6;310.7;1657.6;296;405;Мерен;29;прибрежный малый город
87;РИ087;Вейсар;3408;IV;453.1;609.7;493.1;1859.7;241;313;Ивар;20;прибрежный малый город
88;РИ088;Асар;3303;IV;263.5;119.5;303.5;1369.5;583;791;Метал;29;океанский порт
89;РИ089;Федал;3253;IV;136.8;237.6;176.8;1487.6;473;656;Феден;21;океанский порт
90;РИ090;Росер;3169;IV;258.1;165.6;298.1;1415.6;536;740;Ферен;22;прибрежный малый город
91;РИ091;Ралис;3108;IV;336.5;470.4;376.5;1720.4;254;306;Фасер;29;прибрежный малый город
92;РИ092;Весен;3106;IV;378.6;525.2;418.6;1775.2;230;265;Касрис;23;прибрежный малый город
93;РИ093;Лимер;3052;IV;641.2;853.3;681.2;2103.3;438;660;Эсмар;24;прибрежный малый город
94;РИ094;Терис;3000;IV;218.9;374.8;258.9;1624.8;327;465;Тарон;21;прибрежный малый город
95;РИ095;Оран;3000;IV;371.2;548.0;411.2;1798.0;208;237;Весен;24;прибрежный малый город
96;РИ096;Фатал;3000;IV;590.5;322.1;630.5;1572.1;523;633;Каслен;25;прибрежный малый город
97;РИ097;Мерен;3000;IV;242.5;412.7;282.5;1662.7;289;413;Тарон;23;прибрежный малый город
98;РИ098;Арсен;3000;IV;244.3;75.8;284.3;1325.8;626;830;Ротал;42;океанский порт
99;РИ099;Мамер;3000;IV;114.1;160.1;154.1;1410.1;554;747;Армер;21;океанский порт
100;РИ100;Норис;3000;IV;197.0;79.3;237.0;1329.3;623;817;Несен;21;океанский порт
101;РИ101;Ненар;3000;IV;197.9;251.5;237.9;1501.5;451;615;Кассен;20;прибрежный малый город
