;Эйран;Эйлас;Серрел;Мейран;Вейран;Лорай;Тейрал;Эрел;Эрис;Райел;Сарен;Нирель;Асай;Вейнир;Сетар;Сарел;Эймир;Танел;Минел;Лейтел;Орлас;Нинар;Мейтар;Тейтар;Лоран;Илар;Эвир;Райлас;Сайран;Ренар;Арас;Вейтел;Сенел;Сарас;Эйтар;Тарей;Мирей;Лейлас;Ортел;Нимир;Тейнел;Ломир;Ирелан;Этел;Сайлен;Ресай;Анар;Веймар;Сател;Эйнар
Лейтел;105;421;296;94;433;234;518;298;542;622;493;367;172;104;134;381;455;123;67;0;462;262;454;259;180;516;380;44;137;279;339;68;455;565;217;472;336;310;267;199;418;491;377;92;211;506;151;176;315;427
Орлас;456;772;647;368;896;696;868;179;80;972;31;95;526;566;488;843;805;343;421;462;0;616;916;722;642;54;730;418;599;633;690;399;32;916;679;934;799;773;195;552;768;842;728;555;265;73;324;286;147;35
Нинар;163;168;40;248;695;496;265;451;696;369;646;521;92;366;128;643;202;277;195;262;616;0;716;522;442;670;121;226;399;28;81;220;609;313;479;734;599;573;421;64;159;238;121;354;365;660;305;330;469;581
Мейтар;559;875;750;548;27;220;972;751;996;1076;946;821;626;350;587;73;909;577;521;454;916;716;0;199;274;970;834;498;323;733;793;522;909;1019;247;29;145;143;721;652;871;945;831;363;665;960;605;630;769;881
Тейтар;365;681;556;353;179;25;777;557;802;881;752;627;432;156;393;126;714;382;327;259;722;522;199;0;79;775;639;304;128;539;599;328;714;825;49;217;80;56;526;458;677;751;637;169;470;766;410;435;575;686
Лоран;285;601;477;274;253;54;698;478;722;802;673;547;352;77;314;201;635;303;247;180;642;442;274;79;0;696;560;224;49;460;519;248;635;746;49;291;156;130;447;379;598;671;557;90;391;686;331;356;495;607
Илар;509;825;700;422;949;750;922;232;50;1026;25;149;580;619;541;897;859;396;475;516;54;670;970;775;696;0;784;472;653;687;743;452;71;969;733;987;852;826;249;606;822;895;781;608;319;52;378;340;201;89
Эвир;275;53;83;362;813;614;149;566;810;253;761;635;213;483;250;761;86;389;313;380;730;121;834;639;560;784;0;344;517;118;41;331;723;197;597;851;716;690;535;185;38;123;33;472;479;774;419;444;583;695
Райлас;69;385;260;50;477;278;482;253;498;585;448;323;136;148;97;425;418;79;31;44;418;226;498;304;224;472;344;0;181;243;303;27;411;529;261;516;381;355;223;162;381;455;341;137;167;462;107;132;271;383
Сайран;242;558;434;231;302;103;655;435;679;759;630;504;309;34;271;250;592;260;204;137;599;399;323;128;49;653;517;181;0;417;476;205;592;703;80;340;205;179;404;336;555;628;514;51;348;643;288;313;452;564
Ренар;180;165;37;265;713;513;261;469;713;365;664;538;109;383;146;660;198;294;212;279;633;28;733;539;460;687;118;243;417;0;77;237;626;309;496;751;616;590;438;81;155;235;118;372;382;677;322;347;486;598
Арас;234;93;43;321;773;573;190;525;770;294;720;595;173;443;209;720;127;349;272;339;690;81;793;599;519;743;41;303;476;77;0;291;682;237;556;811;676;650;494;144;78;163;43;432;438;734;378;403;543;654
Вейтел;57;373;248;30;502;302;470;234;479;573;429;304;130;172;91;449;406;58;26;68;399;220;522;328;248;452;331;27;205;237;291;0;392;517;285;540;405;379;204;156;369;443;329;161;147;443;87;113;252;363
Сенел;448;764;640;361;888;689;861;171;89;965;45;88;519;559;480;836;798;335;414;455;32;609;909;714;635;71;723;411;592;626;682;392;0;909;672;927;791;765;188;545;761;834;720;547;258;51;317;279;140;45
Сарас;460;144;272;548;999;799;52;751;996;56;946;821;405;669;441;946;111;575;498;565;916;313;1019;825;746;969;197;529;703;309;237;517;909;0;782;1037;902;876;721;376;167;85;207;658;665;960;605;630;769;880
Эйтар;322;638;513;311;227;27;735;514;759;838;709;584;389;113;350;174;671;340;284;217;679;479;247;49;49;733;597;261;80;496;556;285;672;782;0;265;129;104;484;415;634;708;594;130;428;723;368;393;532;644
Тарей;577;893;768;565;44;238;989;769;1014;1093;964;839;644;368;605;91;926;594;539;472;934;734;29;217;291;987;851;516;340;751;811;540;927;1037;265;0;153;161;739;670;889;963;849;381;682;978;622;647;787;898
Мирей;442;758;633;430;123;102;854;634;879;958;829;704;509;233;470;72;791;459;404;336;799;599;145;80;156;852;716;381;205;616;676;405;791;902;129;153;0;46;604;535;754;828;714;246;547;843;487;512;652;763
Лейлас;416;732;607;404;123;76;828;608;853;932;803;678;483;207;444;71;765;433;378;310;773;573;143;56;130;826;690;355;179;590;650;379;765;876;104;161;46;0;577;509;728;802;688;220;521;817;461;486;626;737
Ортел;260;576;452;173;700;501;673;31;275;777;226;100;331;371;292;648;610;148;226;267;195;421;721;526;447;249;535;223;404;438;494;204;188;721;484;739;604;577;0;357;573;646;532;359;70;239;129;91;48;160
Нимир;99;232;104;184;632;433;329;388;632;432;583;457;28;302;65;579;265;213;131;199;552;64;652;458;379;606;185;162;336;81;144;156;545;376;415;670;535;509;357;0;223;302;185;291;301;596;241;266;405;517
Тейнел;312;33;121;400;851;652;122;603;848;223;798;673;251;521;288;798;56;427;350;418;768;159;871;677;598;822;38;381;555;155;78;369;761;167;634;889;754;728;573;223;0;97;68;510;517;812;457;482;621;733
Ломир;386;70;198;473;925;725;34;677;922;135;872;747;331;595;367;872;41;501;424;491;842;238;945;751;671;895;123;455;628;235;163;443;834;85;708;963;828;802;646;302;97;0;133;584;590;886;530;555;695;806
Ирелан;272;63;81;359;811;611;160;563;808;263;758;633;213;481;250;758;96;387;310;377;728;121;831;637;557;781;33;341;514;118;43;329;720;207;594;849;714;688;532;185;68;133;0;470;476;772;416;441;581;692
Этел;198;514;389;186;343;144;610;390;635;714;585;460;264;27;226;291;547;215;160;92;555;354;363;169;90;608;472;137;51;372;432;161;547;658;130;381;246;220;359;291;510;584;470;0;303;599;243;268;408;519
Сайлен;204;520;396;117;644;445;617;88;345;721;296;170;275;314;236;592;554;91;170;211;265;365;665;470;391;319;479;167;348;382;438;147;258;665;428;682;547;521;70;301;517;590;476;303;0;309;73;35;118;230
Ресай;500;816;691;412;940;740;912;223;38;1016;41;139;570;610;532;887;849;387;465;506;73;660;960;766;686;52;774;462;643;677;734;443;51;960;723;978;843;817;239;596;812;886;772;599;309;0;368;330;191;96
Анар;144;460;336;57;584;385;557;160;404;661;354;229;215;255;176;532;494;40;110;151;324;305;605;410;331;378;419;107;288;322;378;87;317;605;368;622;487;461;129;241;457;530;416;243;73;368;0;38;177;289
Веймар;169;485;361;82;609;410;582;122;366;686;317;191;240;280;201;557;519;56;135;176;286;330;630;435;356;340;444;132;313;347;403;113;279;630;393;647;512;486;91;266;482;555;441;268;35;330;38;0;139;251
Сател;309;625;500;221;748;549;721;45;227;825;177;52;379;419;340;696;658;196;274;315;147;469;769;575;495;201;583;271;452;486;543;252;140;769;532;787;652;626;48;405;621;695;581;408;118;191;177;139;0;112
Эйнар;420;736;611;333;860;661;833;143;115;937;66;60;491;530;452;808;770;307;386;427;35;581;881;686;607;89;695;383;564;598;654;363;45;880;644;898;763;737;160;517;733;806;692;519;230;96;289;251;112;0
