;Дарен;Ирет;Увар;Девин;Олвен;Ремар;Керан;Эндар;Мелин;Талес;Тердар;Варлен;Ремлан;Ирлан;Мелрен;Велтал;Фарден;Умар;Девос;Сардел;Энден;Касир;Йортен;Таллан;Дармар;Керос;Эйор;Терлен;Олет;Варис;Ремден;Ирдел;Мелвар;Велден;Уран;Девдар;Сарвен;Атен;Касмар;Йорвен;Талос;Дарлан;Керор;Терсар;Олор;Варос;Ремдел;Ирвен;Мелет
Мелрен;109;890;529;45;1032;97;585;795;819;290;237;502;964;193;0;680;977;595;1154;523;699;467;340;1055;194;270;762;350;1073;1015;390;391;947;148;1074;634;558;626;111;1114;502;44;441;712;986;423;542;663;914
Велтал;701;577;1206;636;352;583;95;115;505;967;443;234;283;869;680;0;663;287;474;157;386;1144;1016;742;487;946;81;330;759;702;1067;290;633;825;393;1311;130;318;788;433;1179;710;302;32;305;1100;212;37;234
Фарден;917;86;1502;932;1015;879;568;778;158;1263;740;475;946;1166;977;663;0;381;1137;506;277;1440;1313;79;783;1243;744;627;99;41;1363;586;34;1121;1056;1607;534;351;1084;1097;1475;1006;543;695;968;1396;451;645;897
Умар;616;295;1120;550;639;498;192;402;223;882;358;93;570;784;595;287;381;0;761;130;104;1059;931;460;402;861;368;245;478;420;982;204;352;740;681;1226;158;31;702;721;1094;625;162;319;592;1015;75;269;521
Девос;1175;1051;1679;1110;124;1057;569;359;979;1441;917;708;206;1343;1154;474;1137;761;0;631;860;1618;1490;1216;961;1420;403;804;1233;1175;1541;763;1107;1299;80;1785;603;792;1261;40;1653;1184;776;445;169;1574;686;509;240
Сардел;544;420;1048;479;509;426;62;272;348;810;286;77;440;712;523;157;506;130;631;0;229;987;859;585;330;789;238;173;602;545;910;132;477;668;551;1154;35;161;630;591;1022;553;145;189;462;943;55;139;391
Энден;720;191;1224;654;738;602;291;501;119;986;462;197;669;888;699;386;277;104;860;229;0;1163;1035;356;506;965;467;349;374;316;1086;308;248;844;779;1330;256;74;806;819;1197;729;265;418;691;1119;174;368;620
Касир;576;1354;67;508;1496;561;1049;1259;1282;177;701;965;1427;275;467;1144;1440;1059;1618;987;1163;0;128;1519;658;203;1225;814;1536;1479;77;854;1411;322;1537;167;1022;1090;357;1578;41;434;904;1176;1449;47;1005;1126;1378
Йортен;448;1226;189;381;1368;433;921;1131;1155;49;573;838;1299;147;340;1016;1313;931;1490;859;1035;128;0;1391;530;76;1097;686;1409;1351;51;727;1283;194;1410;295;894;962;229;1450;162;306;777;1048;1322;84;878;998;1250
Таллан;996;165;1580;1011;1094;958;647;857;237;1342;818;553;1025;1244;1055;742;79;460;1216;585;356;1519;1391;0;862;1321;823;705;31;40;1442;665;113;1200;1135;1686;612;430;1162;1175;1554;1085;622;774;1047;1475;530;724;976
Дармар;215;697;719;149;839;97;392;602;625;481;47;309;770;383;194;487;783;402;961;330;506;658;530;862;0;460;568;157;880;822;581;198;754;339;881;825;365;433;301;921;692;224;248;519;792;614;348;469;721
Керос;378;1156;265;311;1298;363;851;1061;1085;30;503;768;1230;79;270;946;1243;861;1420;789;965;203;76;1321;460;0;1028;616;1339;1281;126;657;1213;121;1340;371;824;892;159;1380;238;236;707;978;1252;159;808;929;1180
Эйор;782;658;1287;717;280;664;176;44;586;1048;524;315;212;951;762;81;744;368;403;238;467;1225;1097;823;568;1028;0;412;840;783;1148;371;715;906;322;1392;211;399;869;362;1260;791;383;49;234;1181;293;108;162
Терлен;370;540;875;305;682;253;235;445;469;637;113;152;614;539;350;330;627;245;804;173;349;814;686;705;157;616;412;0;723;665;737;41;597;495;724;981;208;276;457;764;848;380;91;362;636;770;192;313;564
Олет;1013;183;1598;1028;1111;975;664;874;254;1360;836;571;1042;1262;1073;759;99;478;1233;602;374;1536;1409;31;880;1339;840;723;0;58;1459;682;132;1217;1153;1704;630;447;1180;1193;1571;1103;639;791;1064;1492;547;741;993
Варис;955;125;1540;970;1053;918;607;817;196;1302;778;513;985;1204;1015;702;41;420;1175;545;316;1479;1351;40;822;1281;783;665;58;0;1402;624;74;1160;1095;1646;572;390;1122;1135;1513;1045;581;734;1007;1435;489;684;935
Ремден;499;1277;138;431;1419;484;972;1182;1205;100;624;889;1350;198;390;1067;1363;982;1541;910;1086;77;51;1442;581;126;1148;737;1459;1402;0;777;1334;245;1460;244;945;1013;280;1501;112;357;827;1099;1372;33;928;1049;1301
Ирдел;411;499;916;346;641;293;195;405;428;678;154;111;573;580;391;290;586;204;763;132;308;854;727;665;198;657;371;41;682;624;777;0;556;535;683;1022;167;235;498;723;889;421;50;322;595;810;151;272;523
Мелвар;887;57;1472;902;985;850;538;748;128;1234;710;445;917;1136;947;633;34;352;1107;477;248;1411;1283;113;754;1213;715;597;132;74;1334;556;0;1092;1027;1578;504;322;1054;1067;1445;977;513;665;939;1367;421;616;867
Велден;257;1035;383;189;1177;242;730;940;963;145;382;646;1108;47;148;825;1121;740;1299;668;844;322;194;1200;339;121;906;495;1217;1160;245;535;1092;0;1218;489;703;771;38;1259;356;115;585;857;1130;278;686;807;1059
Уран;1094;970;1599;1029;47;976;488;278;899;1361;837;627;129;1263;1074;393;1056;681;80;551;779;1537;1410;1135;881;1340;322;724;1153;1095;1460;683;1027;1218;0;1705;523;711;1181;40;1572;1104;695;364;88;1493;605;428;160
Девдар;743;1521;107;676;1663;728;1216;1426;1450;344;868;1133;1594;442;634;1311;1607;1226;1785;1154;1330;167;295;1686;825;371;1392;981;1704;1646;244;1022;1578;489;1705;0;1189;1257;524;1745;134;601;1072;1343;1616;214;1173;1293;1545
Сарвен;578;447;1083;513;481;461;35;245;376;845;321;111;413;747;558;130;534;158;603;35;256;1022;894;612;365;824;211;208;630;572;945;167;504;703;523;1189;0;188;665;563;1056;588;179;162;435;978;82;112;363
Атен;646;265;1151;581;670;529;223;433;193;913;389;124;601;815;626;318;351;31;792;161;74;1090;962;430;433;892;399;276;447;390;1013;235;322;771;711;1257;188;0;733;751;1124;656;192;350;623;1046;106;300;552
Касмар;219;997;418;152;1139;204;693;902;926;180;344;609;1071;82;111;788;1084;702;1261;630;806;357;229;1162;301;159;869;457;1180;1122;280;498;1054;38;1181;524;665;733;0;1221;391;77;548;819;1093;313;649;770;1021
Йорвен;1134;1010;1639;1069;84;1017;528;319;939;1401;877;667;166;1303;1114;433;1097;721;40;591;819;1578;1450;1175;921;1380;362;764;1193;1135;1501;723;1067;1259;40;1745;563;751;1221;0;1612;1144;735;405;128;1534;646;468;200
Талос;610;1388;27;543;1531;596;1084;1294;1317;211;735;1000;1462;309;502;1179;1475;1094;1653;1022;1197;41;162;1554;692;238;1260;848;1571;1513;112;889;1445;356;1572;134;1056;1124;391;1612;0;469;939;1211;1484;83;1040;1161;1413
Дарлан;153;920;495;75;1062;127;615;825;848;257;267;532;993;159;44;710;1006;625;1184;553;729;434;306;1085;224;236;791;380;1103;1045;357;421;977;115;1104;601;588;656;77;1144;469;0;471;742;1015;390;571;692;944
Керор;461;456;966;396;654;343;207;417;385;728;204;68;585;630;441;302;543;162;776;145;265;904;777;622;248;707;383;91;639;581;827;50;513;585;695;1072;179;192;548;735;939;471;0;334;607;860;102;284;536
Терсар;733;609;1237;668;323;615;127;86;537;999;475;266;254;901;712;32;695;319;445;189;418;1176;1048;774;519;978;49;362;791;734;1099;322;665;857;364;1343;162;350;819;405;1211;742;334;0;276;1132;244;64;205
Олор;1006;882;1511;941;47;888;400;190;810;1272;749;539;46;1175;986;305;968;592;169;462;691;1449;1322;1047;792;1252;234;636;1064;1007;1372;595;939;1130;88;1616;435;623;1093;128;1484;1015;607;276;0;1405;517;340;71
Варос;532;1310;110;464;1452;517;1005;1215;1238;133;657;922;1383;231;423;1100;1396;1015;1574;943;1119;47;84;1475;614;159;1181;770;1492;1435;33;810;1367;278;1493;214;978;1046;313;1534;83;390;860;1132;1405;0;961;1082;1334
Ремдел;562;365;1067;497;564;444;117;327;293;828;305;40;495;731;542;212;451;75;686;55;174;1005;878;530;348;808;293;192;547;489;928;151;421;686;605;1173;82;106;649;646;1040;571;102;244;517;961;0;194;446
Ирвен;683;559;1188;618;387;565;77;150;487;949;425;216;318;852;663;37;645;269;509;139;368;1126;998;724;469;929;108;313;741;684;1049;272;616;807;428;1293;112;300;770;468;1161;692;284;64;340;1082;194;0;269
Мелет;935;810;1439;870;118;817;329;119;739;1201;677;468;49;1103;914;234;897;521;240;391;620;1378;1250;976;721;1180;162;564;993;935;1301;523;867;1059;160;1545;363;552;1021;200;1413;944;536;205;71;1334;446;269;0
