№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
80;ИА080;Насея;4461;IV;527.3;411.3;;;134;167;Ашитар;30;земледельческий/ремесленный город
81;ИА081;Хамир;4455;IV;632.9;485.4;;;249;328;Аширан;20;земледельческий/ремесленный город
82;ИА082;Месай;4197;IV;570.3;471.5;;;185;261;Шалан;28;земледельческий/ремесленный город
83;ИА083;Зелан;3867;IV;286.4;199.3;;;243;318;Кашара;20;земледельческий/ремесленный город
84;ИА084;Кишим;3614;IV;260.3;115.6;;;330;440;Ванар;20;земледельческий/ремесленный город
85;ИА085;Маран;3444;IV;743.3;576.9;;;385;510;Руйат;25;земледельческий/ремесленный город
86;ИА086;Омей;3424;IV;344.7;240.8;;;183;268;Земун;21;земледельческий/ремесленный город
87;ИА087;Сайат;3388;IV;461.2;383.6;;;75;90;Силин;24;земледельческий/ремесленный город
88;ИА088;Силин;3360;IV;474.0;403.5;;;82;99;Масай;22;земледельческий/ремесленный город
89;ИА089;Тамун;3278;IV;370.1;79.3;;;338;403;Ирия;20;земледельческий/ремесленный город
90;ИА090;Джамун;3272;IV;331.5;55.4;;;367;426;Нашара;21;земледельческий/ремесленный город
91;ИА091;Шарун;3193;IV;837.5;702.4;;;528;737;Хамун;23;земледельческий/ремесленный город
92;ИА092;Равар;3129;IV;794.7;752.7;;;523;733;Ишим;22;земледельческий/ремесленный город
93;ИА093;Ашитар;3121;IV;554.1;425.6;;;161;204;Васай;25;земледельческий/ремесленный город
94;ИА094;Ашим;3116;IV;767.2;778.1;;;520;743;Ишим;23;земледельческий/ремесленный город
95;ИА095;Ванар;3000;IV;280.1;120.1;;;318;416;Кишим;20;земледельческий/ремесленный город
96;ИА096;Камей;3000;IV;355.9;211.0;;;209;287;Мерия;28;земледельческий/ремесленный город
97;ИА097;Лайра;3000;IV;468.5;328.5;;;116;146;Тенар;26;земледельческий/ремесленный город
98;ИА098;Тенар;3000;IV;469.2;354.9;;;98;125;Лайра;26;земледельческий/ремесленный город
99;ИА099;Рухан;3000;IV;831.4;825.6;;;599;808;Кирим;26;земледельческий/ремесленный город
100;ИА100;Несея;3000;IV;344.8;36.6;;;384;450;Джамун;23;земледельческий/ремесленный город
101;ИА101;Ихан;3000;IV;623.4;511.9;;;249;342;Кивен;22;земледельческий/ремесленный город
102;ИА102;Нашара;3000;IV;339.3;75.4;;;346;401;Джамун;21;земледельческий/ремесленный город
103;ИА103;Харан;3000;IV;351.5;180.7;;;240;299;Сашара;21;земледельческий/ремесленный город
104;ИА104;Мерия;3000;IV;367.7;236.2;;;183;253;Омей;24;земледельческий/ремесленный город
105;ИА105;Земун;3000;IV;333.1;258.6;;;170;267;Омей;21;земледельческий/ремесленный город
106;ИА106;Кивен;3000;IV;624.8;534.2;;;259;367;Ихан;22;земледельческий/ремесленный город
107;ИА107;Мамей;3000;IV;803.0;717.9;;;508;700;Рамей;35;земледельческий/ремесленный город
