;Нерасса;Маорин;Тейра;Навара;Арулис;Танири;Ориано;Навей;Марей;Ирэла;Аруна;Лаоре;Нерона;Ирелори;Мавири;Валена;Элалис;Тейрона;Оралис;Лимей;Терей;Нарона;Сарона;Талано;Селори;Арутано;Орирасса;Лавей;Ретари;Кавара;Мивири;Нерин;Ирелис;Мари;Ватано;Элатано;Тейсса;Орарасса;Ливей;Терела;Нарасса;Сарин;Севара;Арунира;Орилори;Лари;Ретано;Кавей;Милина;Невара;Иререла;Варела;Эласса;Тейлена;Орарона;Лилано;Тевири;Налина;Сарела;Танира;Арурасса;Оривей;Лавара
Оралис;58;395;549;296;712;481;645;737;231;271;665;436;459;51;824;653;41;700;0;100;570;404;343;238;522;549;227;329;133;306;526;423;529;151;345;282;160;334;592;607;124;437;448;710;516;802;292;196;790;565;736;355;750;364;566;835;464;797;415;446;319;420;278
Лимей;49;295;473;214;631;381;545;649;147;183;599;336;392;85;735;581;119;625;100;0;470;324;243;141;422;477;219;277;110;243;430;352;462;52;245;182;116;235;516;508;86;336;398;614;416;717;194;170;704;466;651;259;679;287;500;748;367;707;317;349;225;323;180
Терей;515;179;367;343;397;97;80;358;374;336;494;137;398;545;404;445;584;450;570;470;0;322;230;338;67;396;543;445;506;412;150;369;419;420;225;292;475;245;380;77;486;134;483;233;70;426;288;504;402;57;373;235;510;343;437;433;157;365;171;176;280;185;299
Нарона;370;202;150;374;308;236;363;336;345;338;286;262;96;359;426;260;395;302;404;324;322;0;249;281;255;159;512;136;285;120;191;53;154;280;211;199;251;174;192;307;393;237;166;342;318;399;177;247;388;280;334;298;357;42;190;434;165;403;293;147;315;149;275
Сарона;287;75;377;144;491;150;308;485;150;120;521;93;344;323;558;485;360;514;343;243;230;249;0;108;191;395;330;314;298;270;232;301;400;196;38;85;273;76;411;279;257;100;403;410;173;558;96;315;539;236;492;49;575;239;432;579;171;524;77;163;74;137;70
Талано;181;173;427;106;563;255;415;568;63;66;567;201;370;224;647;538;260;574;238;141;338;281;108;0;297;440;240;298;217;254;325;325;435;101;122;85;200;130;467;384;150;207;408;508;279;639;107;252;622;341;573;118;633;257;471;665;261;614;177;247;87;219;40
Селори;469;127;309;321;360;42;125;332;341;307;442;107;333;493;390;394;532;406;522;422;67;255;191;297;0;337;518;379;448;347;93;303;358;371;178;240;416;190;326;87;447;91;417;227;86;403;233;443;381;44;344;210;466;276;378;416;90;352;152;110;253;120;261
Арутано;521;335;30;529;183;336;407;237;503;494;127;385;93;500;327;104;533;152;549;477;396;159;395;440;337;0;671;231;421;244;247;126;36;436;358;356;390;324;54;351;550;356;155;311;418;283;334;369;280;342;227;443;202;191;41;323;263;316;425;254;466;270;431
Орирасса;199;404;662;201;803;478;623;808;181;211;797;412;593;263;885;772;268;811;227;219;543;512;330;240;518;671;0;491;324;454;561;550;662;243;356;324;334;370;702;604;133;428;611;740;475;879;345;387;862;561;813;310;869;481;699;904;497;852;373;485;265;458;265
Лавей;313;295;240;403;410;352;494;452;354;363;338;360;138;279;543;332;308;382;329;277;445;136;314;298;379;231;491;0;197;44;325;118;205;249;282;236;170;242;281;439;360;339;121;476;429;507;219;140;501;409;446;360;427;104;241;546;290;524;378;269;362;262;309
Ретари;127;328;424;311;590;410;574;621;245;275;534;382;329;82;711;524;112;573;133;110;506;285;298;217;448;421;324;197;0;177;433;297;399;119;286;218;35;261;467;529;193;374;315;611;463;684;218;66;673;489;619;327;621;244;436;719;376;686;375;356;304;334;251
Кавара;283;256;247;360;416;317;465;451;312;320;359;320;153;257;542;348;289;396;306;243;412;120;270;254;347;244;454;44;177;0;300;120;223;211;239;192;146;200;290;412;324;301;158;462;391;511;175;130;502;379;447;317;445;80;261;547;259;520;337;238;317;227;265
Мивири;478;157;218;375;273;106;173;255;379;352;349;173;254;490;326;302;529;314;526;430;150;191;232;325;93;247;561;325;433;300;0;231;270;378;205;251;399;198;234;116;471;147;342;185;178;328;236;414;308;97;265;265;376;222;288;348;64;291;220;81;304;107;296
Нерин;395;255;127;422;296;286;404;334;388;384;248;315;45;375;426;230;409;276;423;352;369;53;301;325;303;126;550;118;297;120;231;0;112;311;263;245;265;225;170;347;426;289;115;363;369;392;223;249;384;324;329;349;328;69;149;429;214;407;347;197;365;201;323
Ирелис;504;344;64;528;217;353;435;273;498;492;137;397;71;480;362;127;511;178;529;462;419;154;400;435;358;36;662;205;399;223;270;112;0;423;362;353;369;326;90;378;537;369;120;346;436;316;331;345;315;367;262;448;222;181;38;357;279;352;435;268;468;281;429
Мари;100;244;430;192;584;330;495;600;127;155;559;287;353;127;686;539;164;581;151;52;420;280;196;101;371;436;243;249;119;211;378;311;423;0;195;131;110;183;472;457;115;286;368;563;368;669;143;165;655;415;602;217;636;244;460;699;315;656;272;297;188;271;138
Ватано;291;51;339;177;457;136;300;454;174;149;483;96;306;320;530;448;359;478;345;245;225;211;38;122;178;358;356;282;286;239;205;263;362;195;0;68;258;40;374;265;271;91;367;387;177;526;71;296;508;222;461;87;539;203;394;550;142;496;98;131;110;104;91
Элатано;230;114;343;177;479;199;364;486;148;139;483;164;290;254;567;454;293;489;282;182;292;199;85;85;240;356;324;236;218;192;251;245;353;131;68;0;190;53;382;326;221;158;336;436;245;557;22;231;541;284;490;126;549;178;389;584;187;536;161;170;126;143;78
Тейсса;144;297;391;299;557;379;542;587;236;261;505;353;299;111;676;493;145;541;160;116;475;251;273;200;416;390;334;170;35;146;399;265;369;110;258;190;0;231;434;496;201;344;290;577;434;650;189;56;640;457;585;305;590;210;406;685;343;652;350;322;285;301;231
Орарасса;283;67;308;205;435;150;315;438;190;172;451;126;269;304;517;418;343;450;334;235;245;174;76;130;190;324;370;242;261;200;198;225;326;183;40;53;231;0;345;274;273;114;327;383;205;509;43;264;492;233;443;125;510;163;360;535;134;485;137;118;142;91;110
Ливей;561;345;43;550;129;332;381;183;529;517;116;388;143;545;273;74;579;109;592;516;380;192;411;467;326;54;702;281;467;290;234;170;90;472;374;382;434;345;0;327;585;359;209;267;411;229;360;418;226;325;173;456;167;229;76;269;263;262;431;259;484;279;453
Терела;555;214;320;405;327;129;58;284;428;393;437;191;369;577;326;386;617;385;607;508;77;307;279;384;87;351;604;439;529;412;116;347;378;457;265;326;496;274;327;0;534;178;457;156;143;350;316;517;326;43;299;294;443;336;391;356;155;288;233;176;338;195;349
Нарасса;77;322;543;177;693;405;564;706;118;160;674;349;467;143;788;653;162;694;124;86;486;393;257;150;447;550;133;360;193;324;471;426;537;115;271;221;201;273;585;534;0;357;481;655;424;775;239;255;760;491;709;256;750;358;575;804;407;757;320;391;214;364;186
Сарин;382;48;332;233;419;50;209;402;250;217;474;28;328;411;469;432;450;453;437;336;134;237;100;207;91;356;428;339;374;301;147;289;369;286;91;158;344;114;359;178;357;0;402;314;92;475;156;378;454;135;412;122;515;244;396;493;97;433;74;102;164;89;171
Севара;434;366;177;511;336;401;515;392;467;471;232;427;89;397;482;239;424;292;448;398;483;166;403;408;417;155;611;121;315;158;342;115;120;368;367;336;290;327;209;457;481;402;0;453;484;436;316;254;435;437;382;452;327;164;146;477;329;470;456;312;461;315;413
Арунира;663;336;282;547;210;264;180;147;560;529;353;333;366;673;171;302;712;283;710;614;233;342;410;508;227;311;740;476;611;462;185;363;346;563;387;436;577;383;267;156;655;314;453;0;298;203;421;585;179;190;166;435;330;381;343;203;249;133;379;266;477;293;477
Орилори;459;139;391;275;446;84;149;414;309;270;527;81;404;495;467;480;533;492;516;416;70;318;173;279;86;418;475;429;463;391;178;369;436;368;177;245;434;205;411;143;424;92;484;298;0;484;246;469;461;110;428;170;553;331;459;495;158;428;105;172;214;170;240
Лари;765;482;268;701;100;430;383;73;698;676;243;500;371;758;64;207;794;159;802;717;426;399;558;639;403;283;879;507;684;511;328;392;316;669;526;557;650;509;229;350;775;475;436;203;484;0;538;640;25;375;67;593;172;440;292;43;387;86;547;396;631;423;616
Ретано;243;109;321;199;459;193;358;467;170;161;461;165;268;261;549;432;300;468;292;194;288;177;96;107;233;334;345;219;218;175;236;223;331;143;71;22;189;43;360;316;239;156;316;421;246;538;0;225;522;275;471;141;527;156;366;565;173;518;169;155;145;129;99
Кавей;192;330;375;354;544;407;566;581;291;315;477;390;277;145;671;471;170;521;196;170;504;247;315;252;443;369;387;140;66;130;414;249;345;165;296;231;56;264;418;517;255;378;254;585;469;640;225;0;632;481;577;352;567;206;381;677;363;649;391;341;335;324;280
Милина;752;463;263;682;100;409;358;55;681;657;252;479;366;746;50;212;783;168;790;704;402;388;539;622;381;280;862;501;673;502;308;384;315;655;508;541;640;492;226;326;760;454;435;179;461;25;522;632;0;352;55;573;188;430;293;45;368;64;526;377;611;405;598
Невара;513;171;313;364;342;86;86;306;385;351;438;149;350;536;357;389;575;394;565;466;57;280;236;341;44;342;561;409;489;379;97;324;367;415;222;284;457;233;325;43;491;135;437;190;110;375;275;481;352;0;320;252;453;305;383;385;120;319;192;141;296;157;306
Иререла;698;418;209;636;55;369;338;20;632;610;213;438;312;692;100;168;729;131;736;651;373;334;492;573;344;227;813;446;619;447;265;329;262;602;461;490;585;443;173;299;709;412;382;166;428;67;471;577;55;320;0;529;167;375;242;100;322;95;485;330;566;357;550
Варела;298;113;423;112;531;171;315;520;140;101;567;103;393;342;590;530;377;557;355;259;235;298;49;118;210;443;310;360;327;317;265;349;448;217;87;126;305;125;456;294;256;122;452;435;170;593;141;352;573;252;529;0;619;288;480;613;207;554;65;203;45;179;79
Эласса;723;506;207;715;120;480;489;187;696;683;96;543;292;701;236;98;733;62;750;679;510;357;575;633;466;202;869;427;621;445;376;328;222;636;539;549;590;510;167;443;750;515;327;330;553;172;527;567;188;453;167;619;0;392;186;211;417;250;588;417;648;440;620
Тейлена;332;204;186;354;348;252;390;377;319;316;316;268;113;318;467;295;354;338;364;287;343;42;239;257;276;191;481;104;244;80;222;69;181;244;203;178;210;163;229;336;358;244;164;381;331;440;156;206;430;305;375;288;392;0;218;475;187;444;293;167;300;161;255
Орарона;542;374;70;563;193;377;447;255;534;527;99;425;108;517;342;93;548;146;566;500;437;190;432;471;378;41;699;241;436;261;288;149;38;460;394;389;406;360;76;391;575;396;146;343;459;292;366;381;293;383;242;480;186;218;0;334;303;335;464;295;502;310;464
Лилано;796;504;308;722;141;446;383;99;723;698;285;517;410;792;35;250;828;202;835;748;433;434;579;665;416;323;904;546;719;547;348;429;357;699;550;584;685;535;269;356;804;493;477;203;495;43;565;677;45;385;100;613;211;475;334;0;409;72;564;419;652;447;640
Тевири;415;95;237;314;324;74;206;314;316;290;378;126;246;430;388;335;469;356;464;367;157;165;171;261;90;263;497;290;376;259;64;214;279;315;142;187;343;134;263;155;407;97;329;249;158;387;173;363;368;120;322;207;417;187;303;409;0;355;171;22;244;44;232
Налина;755;448;294;665;149;385;312;80;670;643;307;456;395;755;39;263;793;223;797;707;365;403;524;614;352;316;852;524;686;520;291;407;352;656;496;536;652;485;262;288;757;433;470;133;428;86;518;649;64;319;95;554;250;444;335;72;355;0;503;367;595;395;587
Сарела;359;92;402;173;493;118;251;475;205;166;545;48;388;398;539;504;435;526;415;317;171;293;77;177;152;425;373;378;375;337;220;347;435;272;98;161;350;137;431;233;320;74;456;379;105;547;169;391;526;192;485;65;588;293;464;564;171;503;0;173;109;154;138
Танира;397;90;230;306;328;89;227;323;304;280;373;130;231;411;400;332;450;355;446;349;176;147;163;247;110;254;485;269;356;238;81;197;268;297;131;170;322;118;259;176;391;102;312;266;172;396;155;341;377;141;330;203;417;167;295;419;22;367;173;0;237;28;221
Арурасса;261;148;449;70;565;214;360;558;96;57;592;147;409;309;630;558;344;587;319;225;280;315;74;87;253;466;265;362;304;317;304;365;468;188;110;126;285;142;484;338;214;164;461;477;214;631;145;335;611;296;566;45;648;300;502;652;244;595;109;237;0;211;55
Оривей;371;66;248;280;354;91;243;351;276;253;392;116;239;386;428;352;426;378;420;323;185;149;137;219;120;270;458;262;334;227;107;201;281;271;104;143;301;91;279;195;364;89;315;293;170;423;129;324;405;157;357;179;440;161;310;447;44;395;154;28;211;0;193
Лавара;221;140;416;99;544;220;378;544;83;63;558;163;367;263;621;526;299;560;278;180;299;275;70;40;261;431;265;309;251;265;296;323;429;138;91;78;231;110;453;349;186;171;413;477;240;616;99;280;598;306;550;79;620;255;464;640;232;587;138;221;55;193;0
