;Эйран;Эйлас;Серрел;Мейран;Вейран;Лорай;Тейрал;Эрел;Эрис;Райел;Сарен;Нирель;Асай;Вейнир;Сетар;Сарел;Эймир;Танел;Минел;Лейтел;Орлас;Нинар;Мейтар;Тейтар;Лоран;Илар;Эвир;Райлас;Сайран;Ренар;Арас;Вейтел;Сенел;Сарас;Эйтар;Тарей;Мирей;Лейлас;Ортел;Нимир;Тейнел;Ломир;Ирелан;Этел;Сайлен;Ресай;Анар;Веймар;Сател;Эйнар
Асай;56;203;101;80;454;302;281;176;369;362;332;237;0;206;28;415;228;76;77;128;307;70;472;322;263;347;165;97;230;80;132;78;303;317;287;486;366;363;162;22;190;259;158;195;111;344;105;100;199;282
Вейнир;156;408;306;137;249;96;486;264;390;567;367;295;206;0;180;210;434;154;130;78;349;275;267;117;59;387;370;109;24;284;338;128;330;521;82;281;163;157;240;227;396;464;363;21;213;362;156;185;260;330
Сетар;28;229;127;64;429;276;306;188;377;387;340;247;28;180;0;390;254;68;50;102;316;96;446;296;236;357;191;72;204;108;159;56;310;342;262;461;341;337;171;49;217;285;183;169;119;350;100;103;208;291
Сарел;366;618;516;343;39;115;696;437;495;777;487;446;415;210;390;0;644;358;340;288;477;485;57;96;157;506;580;319;186;493;548;338;453;732;128;72;56;54;415;437;605;674;573;223;404;470;350;379;421;467
Эймир;279;26;128;304;682;530;52;304;478;134;438;358;228;434;254;644;0;294;304;356;416;159;700;550;490;445;64;325;458;154;96;307;425;89;516;714;594;591;309;206;45;33;73;423;279;462;313;291;337;393
Танел;72;268;166;21;396;248;346;137;315;427;281;190;76;154;68;358;294;0;61;89;258;138;414;269;214;299;230;60;177;140;198;42;248;383;231;426;305;307;116;96;252;322;228;151;70;288;32;45;150;233
Минел;29;279;177;42;379;226;356;197;374;437;341;250;77;130;50;340;304;61;0;52;318;146;397;246;186;358;241;24;154;156;208;21;307;392;212;411;292;287;177;98;267;335;233;119;130;346;88;105;210;294
Лейтел;79;331;229;68;327;174;408;219;377;489;348;264;128;78;102;288;356;89;52;0;326;198;344;194;134;367;293;33;102;208;261;54;312;444;160;359;240;235;196;150;319;387;285;67;157;349;104;130;225;304
Орлас;329;397;333;275;505;407;452;133;64;523;24;70;307;349;316;477;416;258;318;326;0;326;524;422;394;41;370;309;360;309;353;297;25;489;386;525;423;445;146;314;373;428;385;360;197;47;230;215;109;26
Нинар;122;133;31;147;524;371;211;195;390;292;350;257;70;275;96;485;159;138;146;198;326;0;542;392;332;363;95;166;300;22;63;148;326;247;357;556;435;433;189;48;121;189;90;265;144;367;162;146;225;300
Мейтар;423;675;573;400;20;171;753;491;538;833;533;497;472;267;446;57;700;414;397;344;524;542;0;151;212;552;637;376;242;550;604;394;500;788;185;23;111;109;469;494;662;731;629;279;460;514;407;435;474;516
Тейтар;272;525;423;252;134;20;602;362;451;683;436;381;322;117;296;96;550;269;246;194;422;392;151;0;61;456;487;226;92;401;454;245;401;637;39;167;61;42;339;344;512;581;478;128;321;424;265;295;352;408
Лоран;211;465;363;196;195;42;542;319;430;622;411;346;263;59;236;157;490;214;186;134;394;332;212;61;0;431;427;167;37;342;395;187;374;577;38;228;116;103;296;284;453;521;418;67;271;402;215;244;313;377
Илар;370;427;369;316;533;442;479;172;37;547;20;110;347;387;357;506;445;299;358;367;41;363;552;456;431;0;402;350;398;346;386;338;57;515;421;552;453;477;186;353;403;455;418;399;238;42;270;256;149;66
Эвир;216;38;65;241;619;467;116;251;434;198;394;308;165;370;191;580;64;230;241;293;370;95;637;487;427;402;0;262;395;90;33;243;377;153;452;651;531;528;253;143;29;94;24;360;219;416;250;229;284;346
Райлас;52;299;197;39;358;205;377;195;363;458;331;244;97;109;72;319;325;60;24;33;309;166;376;226;167;350;262;0;133;175;229;21;297;413;191;390;270;266;173;119;286;355;254;100;130;335;81;103;204;286
Сайран;181;433;331;160;224;72;510;282;399;591;378;310;230;24;204;186;458;177;154;102;360;300;242;92;37;398;395;133;0;308;362;153;341;546;58;257;139;133;258;252;420;489;387;40;234;371;177;207;276;343
Ренар;135;128;28;151;531;380;205;180;374;287;334;242;80;284;108;493;154;140;156;208;309;22;550;401;342;346;90;175;308;0;59;156;311;243;365;563;442;441;176;60;112;182;91;275;135;352;160;141;211;284
Арас;184;71;32;208;586;434;148;229;417;230;376;288;132;338;159;548;96;198;208;261;353;63;604;454;395;386;33;229;362;59;0;211;357;185;420;618;498;495;228;110;59;126;34;327;191;397;219;200;261;328
Вейтел;43;281;179;22;376;225;359;179;353;440;320;230;78;128;56;338;307;42;21;54;297;148;394;245;187;338;243;21;153;156;211;0;287;395;209;408;288;285;158;101;268;337;237;120;112;325;68;86;191;273
Сенел;320;405;336;265;481;385;463;131;67;536;37;69;303;330;310;453;425;248;307;312;25;326;500;401;374;57;377;297;341;311;357;287;0;501;365;501;399;422;141;311;381;438;390;342;192;41;219;207;104;33
Сарас;366;115;217;393;770;617;39;386;550;45;510;436;317;521;342;732;89;383;392;444;489;247;788;637;577;515;153;413;546;243;185;395;501;0;603;802;683;679;393;295;132;64;159;510;366;536;401;380;419;468
Эйтар;239;490;388;215;167;21;568;323;418;649;401;343;287;82;262;128;516;231;212;160;386;357;185;39;38;421;452;191;58;365;420;209;365;603;0;199;82;76;300;309;477;546;445;97;282;390;227;256;313;372
Тарей;438;689;586;412;33;186;767;497;536;848;533;501;486;281;461;72;714;426;411;359;525;556;23;167;228;552;651;390;257;563;618;408;501;802;199;0;121;125;476;508;675;744;644;295;469;513;417;445;479;517
Мирей;319;569;466;291;91;75;647;381;443;728;434;390;366;163;341;56;594;305;292;240;423;435;111;61;116;453;531;270;139;442;498;288;399;683;82;121;0;35;359;388;555;624;524;178;349;418;296;325;366;412
Лейлас;313;566;464;292;92;61;643;394;469;724;457;408;363;157;337;54;591;307;287;235;445;433;109;42;103;477;528;266;133;441;495;285;422;679;76;125;35;0;371;385;553;622;520;170;357;442;302;331;381;433
Ортел;185;286;203;136;449;320;354;23;207;433;170;76;162;240;171;415;309;116;177;196;146;189;469;339;296;186;253;173;258;176;228;158;141;393;300;476;359;371;0;170;264;329;262;245;52;182;93;72;37;120
Нимир;76;181;79;101;476;324;259;181;376;340;338;244;22;227;49;437;206;96;98;150;314;48;494;344;284;353;143;119;252;60;110;101;311;295;309;508;388;385;170;0;168;237;136;217;120;352;123;114;207;288
Тейнел;243;24;89;264;644;492;94;260;436;176;396;314;190;396;217;605;45;252;267;319;373;121;662;512;453;403;29;286;420;112;59;268;381;132;477;675;555;553;264;168;0;70;50;385;234;419;269;247;293;350
Ломир;310;56;158;333;713;560;25;322;489;106;449;373;259;464;285;674;33;322;335;387;428;189;731;581;521;455;94;355;489;182;126;337;438;64;546;744;624;622;329;237;70;0;105;453;303;474;339;317;355;406
Ирелан;207;50;63;237;611;458;125;262;449;204;409;321;158;363;183;573;73;228;233;285;385;90;629;478;418;418;24;254;387;91;34;237;390;159;445;644;524;520;262;136;50;105;0;351;224;430;250;232;294;360
Этел;144;397;296;132;262;108;475;268;404;555;379;304;195;21;169;223;423;151;119;67;360;265;279;128;67;399;360;100;40;275;327;120;342;510;97;295;178;170;245;217;385;453;351;0;214;375;157;186;268;340
Сайлен;135;255;163;91;440;301;328;69;259;409;222;127;111;213;119;404;279;70;130;157;197;144;460;321;271;238;219;130;234;135;191;112;192;366;282;469;349;357;52;120;234;303;224;214;0;233;57;28;89;172
Ресай;360;443;376;304;495;410;499;172;29;570;30;110;344;362;350;470;462;288;346;349;47;367;514;424;402;42;416;335;371;352;397;325;41;536;390;513;418;442;182;352;419;474;430;375;233;0;258;248;145;69
Анар;103;287;187;46;387;245;363;115;286;445;252;163;105;156;100;350;313;32;88;104;230;162;407;265;215;270;250;81;177;160;219;68;219;401;227;417;296;302;93;123;269;339;250;157;57;258;0;29;124;206
Веймар;114;266;169;65;416;275;341;92;274;423;239;146;100;185;103;379;291;45;105;130;215;146;435;295;244;256;229;103;207;141;200;86;207;380;256;445;325;331;72;114;247;317;232;186;28;248;29;0;107;190
Сател;220;315;237;168;454;334;381;33;170;458;133;40;199;260;208;421;337;150;210;225;109;225;474;352;313;149;284;204;276;211;261;191;104;419;313;479;366;381;37;207;293;355;294;268;89;145;124;107;0;84
Эйнар;304;373;308;251;496;392;431;107;90;503;50;45;282;330;291;467;393;233;294;304;26;300;516;408;377;66;346;286;343;284;328;273;33;468;372;517;412;433;120;288;350;406;360;340;172;69;206;190;84;0
