№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
27;ВА027;Семер;20775;III;671.7;485.2;1361.7;1605.2;193;242;Олеран;23;малый торговый город
28;ВА028;Энел;20714;III;324.4;805.1;1014.4;1925.1;290;339;Десел;20;малый торговый город
29;ВА029;Датер;19532;III;363.2;778.6;1053.2;1898.6;246;282;Ледар;25;малый торговый город
30;ВА030;Матарен;18723;III;748.3;411.4;1438.3;1531.4;297;369;Вилен;24;малый торговый город
31;ВА031;Бевер;17802;III;500.8;623.7;1190.8;1743.7;49;67;Новел;21;малый торговый город
32;ВА032;Лерон;17705;III;850.4;315.1;1540.4;1435.1;436;554;Меден;29;малый торговый город
33;ВА033;Братер;17368;III;533.7;594.0;1223.7;1714.0;38;46;Лирин;22;малый торговый город
34;ВА034;Лавель;15495;III;465.0;587.8;1155.0;1707.8;38;47;Теден;24;малый торговый город
35;ВА035;Тарин;15435;III;431.7;695.3;1121.7;1815.3;139;162;Савен;28;малый торговый город
36;ВА036;Аверин;15106;III;637.8;472.8;1327.8;1592.8;171;218;Федар;23;малый торговый город
37;ВА037;Дорвен;14948;IV;650.7;684.2;1340.7;1804.2;185;216;Бренна;23;малый торговый город
38;ВА038;Кетер;14494;IV;667.4;786.0;1357.4;1906.0;269;343;Витен;24;малый торговый город
39;ВА039;Канар;14201;IV;272.4;610.8;962.4;1730.8;231;287;Аведен;20;малый торговый город
40;ВА040;Ревен;14115;IV;645.0;973.2;1335.0;2093.2;424;567;Бравен;22;малый торговый город
41;ВА041;Нарель;14031;IV;129.6;618.7;819.6;1738.7;374;454;Нанел;23;малый торговый город
42;ВА042;Велен;13773;IV;685.7;517.2;1375.7;1637.2;194;239;Донел;21;малый торговый город
43;ВА043;Линел;13768;IV;722.9;433.1;1412.9;1553.1;264;330;Вилен;20;малый торговый город
44;ВА044;Меден;13758;IV;853.9;343.4;1543.9;1463.4;422;525;Алин;27;малый торговый город
45;ВА045;Алин;13585;IV;834.7;361.8;1524.7;1481.8;396;494;Танар;21;малый торговый город
46;ВА046;Телор;13118;IV;651.4;764.7;1341.4;1884.7;242;315;Телен;20;малый торговый город
47;ВА047;Исел;12773;IV;273.7;892.4;963.7;2012.4;390;451;Нерен;28;малый торговый город
48;ВА048;Десел;11845;IV;343.9;809.5;1033.9;1929.5;282;327;Энел;20;малый торговый город
49;ВА049;Новел;11744;IV;513.0;607.1;1203.0;1727.1;34;43;Бевер;21;малый торговый город
50;ВА050;Вимар;11728;IV;191.4;618.3;881.4;1738.3;313;380;Олан;21;малый торговый город
51;ВА051;Федар;11219;IV;647.3;493.7;1337.3;1613.7;167;210;Аверин;23;малый торговый город
52;ВА052;Нерен;10883;IV;246.8;884.9;936.8;2004.9;401;461;Исел;28;малый торговый город
53;ВА053;Олеран;10505;IV;690.8;472.2;1380.8;1592.2;216;268;Семер;23;малый торговый город
54;ВА054;Расел;10179;IV;648.8;949.3;1338.8;2069.3;402;539;Ревен;24;малый торговый город
55;ВА055;Этар;10037;IV;665.8;575.7;1355.8;1695.7;165;235;Фелин;25;малый торговый город
56;ВА056;Дарон;9913;IV;302.2;578.6;992.2;1698.6;199;252;Итен;37;малый торговый город
57;ВА057;Мавел;9848;IV;194.4;981.8;884.4;2101.8;509;590;Ламен;26;малый торговый город
58;ВА058;Бемер;9814;IV;444.2;661.5;1134.2;1781.5;103;122;Даран;21;малый торговый город
59;ВА059;Лелин;9592;IV;799.7;369.6;1489.7;1489.6;363;450;Дедар;29;малый торговый город
60;ВА060;Бралор;9401;IV;948.8;258.4;1638.8;1378.4;548;672;Ланар;23;малый торговый город
61;ВА061;Ламен;9309;IV;213.8;964.1;903.8;2084.1;484;558;Татен;21;малый торговый город
62;ВА062;Танар;9200;IV;834.8;383.3;1524.8;1503.3;385;486;Алин;21;малый торговый город
63;ВА063;Авемер;8994;IV;425.6;588.4;1115.6;1708.4;76;102;Ливер;21;малый торговый город
64;ВА064;Дотен;8859;IV;649.2;621.6;1339.2;1741.6;155;258;Давер;29;малый торговый город
65;ВА065;Кевел;8263;IV;623.8;502.1;1313.8;1622.1;143;180;Лорель;23;малый торговый город
66;ВА066;Карон;8146;IV;657.9;723.5;1347.9;1843.5;216;264;Телен;21;малый торговый город
67;ВА067;Реден;8067;IV;724.6;456.7;1414.6;1576.7;253;315;Линел;24;малый торговый город
68;ВА068;Нанел;7975;IV;146.6;603.7;836.6;1723.7;355;433;Нарель;23;малый торговый город
69;ВА069;Велдар;7879;IV;107.3;614.0;797.3;1734.0;396;479;Нарель;23;малый торговый город
70;ВА070;Лирин;7829;IV;553.4;584.6;1243.4;1704.6;53;72;Братер;22;малый торговый город
71;ВА071;Мелер;7809;IV;390.6;595.8;1080.6;1715.8;112;147;Мердан;24;малый торговый город
72;ВА072;Арен;7731;IV;377.4;744.9;1067.4;1864.9;210;240;Серен;24;малый торговый город
73;ВА073;Теден;7727;IV;444.9;574.3;1134.9;1694.3;56;74;Авемер;24;малый торговый город
74;ВА074;Итен;7678;IV;316.4;612.3;1006.4;1732.3;188;236;Терен;21;малый торговый город
75;ВА075;Детер;7659;IV;658.3;547.1;1348.3;1667.1;160;200;Навер;20;малый торговый город
76;ВА076;Савен;7510;IV;458.6;687.4;1148.6;1807.4;120;137;Тарин;28;малый торговый город
77;ВА077;Нотен;7141;IV;988.7;219.2;1678.7;1339.2;604;739;Датен;24;малый торговый город
78;ВА078;Вилер;6888;IV;632.3;702.9;1322.3;1822.9;183;237;Дорвен;26;малый торговый город
79;ВА079;Фемер;6449;IV;361.3;604.9;1051.3;1724.9;143;183;Немен;22;малый торговый город
80;ВА080;Немен;6334;IV;348.7;587.4;1038.7;1707.4;153;197;Фемер;22;малый торговый город
81;ВА081;Олан;6303;IV;175.9;603.4;865.9;1723.4;326;400;Вимар;21;малый торговый город
82;ВА082;Рарен;6290;IV;1009.9;182.7;1699.9;1302.7;643;789;Рарин;21;малый торговый город
83;ВА083;Элор;6288;IV;254.1;918.2;944.1;2038.2;423;486;Реллин;22;малый торговый город
84;ВА084;Датен;6173;IV;989.2;195.2;1679.2;1315.2;619;761;Нотен;24;малый торговый город
85;ВА085;Марин;6012;IV;656.9;918.6;1346.9;2038.6;377;501;Расел;32;малый торговый город
86;ВА086;Бедал;5582;IV;493.1;642.8;1183.1;1762.8;68;91;Бевер;21;малый торговый город
87;ВА087;Ледар;5521;IV;341.1;767.1;1031.1;1887.1;250;291;Датер;25;малый торговый город
88;ВА088;Бралин;5493;IV;527.8;563.7;1217.8;1683.7;29;35;Астер;29;малый торговый город
89;ВА089;Ларан;5452;IV;661.5;658.2;1351.5;1778.2;181;212;Бренна;21;малый торговый город
90;ВА090;Татен;5263;IV;227.6;948.5;917.6;2068.5;463;534;Ламен;21;малый торговый город
91;ВА091;Авенор;5079;IV;466.0;622.7;1156.0;1742.7;59;89;Даран;29;малый торговый город
92;ВА092;Додар;4978;IV;887.7;316.4;1577.7;1436.4;465;575;Овер;27;малый торговый город
93;ВА093;Кетар;4920;IV;627.5;903.4;1317.5;2023.4;352;494;Венир;24;малый торговый город
94;ВА094;Кавел;4701;IV;417.4;734.6;1107.4;1854.6;180;211;Серен;24;малый торговый город
95;ВА095;Ревел;4543;IV;560.6;529.3;1250.6;1649.3;75;94;Ведал;29;малый торговый город
96;ВА096;Навер;4499;IV;651.6;528.0;1341.6;1648.0;158;197;Детер;20;малый торговый город
97;ВА097;Ведал;4423;IV;585.0;545.2;1275.0;1665.2;89;109;Савер;28;малый торговый город
98;ВА098;Линор;4415;IV;621.4;853.3;1311.4;1973.3;303;437;Мерель;30;малый торговый город
99;ВА099;Арон;4212;IV;682.3;423.6;1372.3;1543.6;236;300;Норан;20;малый торговый город
100;ВА100;Тесел;4082;IV;646.2;815.8;1336.2;1935.8;281;386;Витен;24;малый торговый город
101;ВА101;Итер;4022;IV;964.1;239.8;1654.1;1359.8;572;702;Бралор;24;малый торговый город
102;ВА102;Дерен;4011;IV;222.8;1002.2;912.8;2122.2;510;592;Мавел;35;малый торговый город
103;ВА103;Санор;3965;IV;229.0;914.8;919.0;2034.8;435;504;Элор;25;малый торговый город
104;ВА104;Ноден;3933;IV;774.7;415.8;1464.7;1535.8;317;402;Матарен;27;малый торговый город
105;ВА105;Вилен;3837;IV;724.8;412.9;1414.8;1532.9;276;344;Линел;20;малый торговый город
106;ВА106;Феран;3819;IV;381.3;621.6;1071.3;1741.6;128;171;Фемер;26;малый торговый город
107;ВА107;Нелан;3765;IV;670.0;879.5;1360.0;1999.5;348;453;Венир;30;малый торговый город
108;ВА108;Одал;3653;IV;672.9;842.9;1362.9;1962.9;318;410;Мерель;25;малый торговый город
109;ВА109;Ратар;3623;IV;690.6;751.0;1380.6;1871.0;259;316;Телен;38;малый торговый город
110;ВА110;Селан;3590;IV;364.0;720.7;1054.0;1840.7;200;250;Арен;28;малый торговый город
111;ВА111;Эран;3524;IV;983.2;270.9;1673.2;1390.9;570;705;Итер;37;малый торговый город
112;ВА112;Давер;3491;IV;675.0;607.8;1365.0;1727.8;177;274;Дотен;29;малый торговый город
113;ВА113;Мелтан;3461;IV;913.0;293.1;1603.0;1413.1;499;614;Норель;22;малый торговый город
114;ВА114;Бенел;3432;IV;620.4;544.3;1310.4;1664.3;123;153;Лорель;24;малый торговый город
115;ВА115;Лемар;3350;IV;664.4;459.8;1354.4;1579.8;200;252;Семер;26;малый торговый город
116;ВА116;Бравен;3335;IV;666.2;969.2;1356.2;2089.2;428;562;Ревен;22;малый торговый город
117;ВА117;Ланар;3264;IV;926.0;253.9;1616.0;1373.9;533;664;Бралор;23;малый торговый город
118;ВА118;Тамар;3258;IV;246.3;618.3;936.3;1738.3;258;318;Налин;24;малый торговый город
119;ВА119;Донел;3154;IV;699.5;532.9;1389.5;1652.9;203;252;Велен;21;малый торговый город
120;ВА120;Кедал;3140;IV;336.7;832.3;1026.7;1952.3;305;350;Десел;24;малый торговый город
121;ВА121;Каден;3139;IV;534.2;620.1;1224.2;1740.1;56;71;Новел;25;малый торговый город
122;ВА122;Ресел;3123;IV;620.9;645.5;1310.9;1765.5;139;217;Бренна;27;малый торговый город
123;ВА123;Налин;3079;IV;236.6;596.2;926.6;1716.2;265;335;Севель;22;малый торговый город
124;ВА124;Верен;3078;IV;443.9;601.6;1133.9;1721.6;63;76;Авемер;23;малый торговый город
125;ВА125;Ливер;3065;IV;407.9;577.4;1097.9;1697.4;93;116;Авемер;21;малый торговый город
126;ВА126;Медал;3025;IV;752.8;383.1;1442.8;1503.1;317;394;Дедар;22;малый торговый город
127;ВА127;Терин;3000;IV;490.0;669.0;1180.0;1789.0;95;121;Бедал;26;малый торговый город
