;Нерасса;Маорин;Тейра;Навара;Арулис;Танири;Ориано;Навей;Марей;Ирэла;Аруна;Лаоре;Нерона;Ирелори;Мавири;Валена;Элалис;Тейрона;Оралис;Лимей;Терей;Нарона;Сарона;Талано;Селори;Арутано;Орирасса;Лавей;Ретари;Кавара;Мивири;Нерин;Ирелис;Мари;Ватано;Элатано;Тейсса;Орарасса;Ливей;Терела;Нарасса;Сарин;Севара;Арунира;Орилори;Лари;Ретано;Кавей;Милина;Невара;Иререла;Варела;Эласса;Тейлена;Орарона;Лилано;Тевири;Налина;Сарела;Танира;Арурасса;Оривей;Лавара
Аруна;843;539;191;782;188;652;699;276;809;788;0;617;237;761;374;62;790;103;821;794;721;342;639;762;699;160;1009;415;661;423;748;280;156;785;596;678;650;617;149;631;894;592;298;442;717;299;670;582;317;682;255;696;118;357;112;348;674;366;676;652;728;621;717
Лаоре;458;78;426;269;542;81;273;581;309;260;617;0;570;539;611;566;559;627;526;442;180;683;149;270;128;464;495;752;555;744;241;621;505;382;135;217;516;156;479;226;454;33;647;414;100;653;209;585;638;180;603;136;676;698;505;647;171;567;58;171;190;139;225
Нерона;614;493;144;735;333;605;797;421;742;742;237;570;0;532;518;239;561;302;592;564;729;113;592;668;653;107;820;186;431;194;701;51;81;556;550;632;421;571;167;750;665;545;108;587;671;444;624;352;461;705;400;649;355;127;125;493;627;511;629;605;682;574;670
Ирелори;82;462;676;348;865;574;766;953;320;352;761;539;532;0;1050;764;44;826;59;101;698;474;396;273;622;639;323;346;101;339;670;481;606;161;438;371;123;432;699;719;174;514;495;907;640;976;397;180;993;674;932;407;880;436;649;1025;596;1043;484;574;383;543;318
Мавири;1022;642;374;879;185;529;453;129;912;871;374;611;518;1050;0;333;1079;270;1091;1037;475;631;742;865;482;412;1106;704;950;712;548;569;452;977;700;781;940;720;420;385;1058;589;595;197;555;75;773;871;62;436;123;746;319;646;447;43;619;44;669;630;801;662;820
Валена;845;489;140;731;147;601;658;235;759;738;62;566;239;764;333;0;792;63;823;796;680;345;588;711;649;148;958;418;663;425;697;282;158;787;546;628;653;567;88;590;896;541;301;402;667;258;620;584;276;641;214;645;116;359;115;307;623;325;625;601;678;570;666
Элалис;101;481;705;367;894;594;785;981;339;388;790;559;561;44;1079;792;0;855;51;145;718;503;441;318;641;667;342;375;129;368;689;510;634;206;483;415;168;476;728;738;194;534;524;927;659;1005;442;208;1022;693;961;452;908;465;678;1054;616;1071;529;594;427;562;362
Тейрона;908;549;202;792;85;662;595;172;819;798;103;627;302;826;270;63;855;0;886;859;618;407;649;772;625;210;1019;480;726;488;690;345;221;850;606;688;715;627;150;528;959;602;363;339;698;196;680;646;213;579;152;706;76;422;177;245;684;262;686;662;738;631;727
Оралис;69;448;736;335;913;561;753;1000;306;355;821;526;592;59;1091;823;51;886;0;115;685;534;411;288;608;698;309;406;160;398;657;541;665;176;453;385;183;446;758;706;161;501;555;894;626;1024;412;239;1041;660;980;422;939;496;708;1073;583;1047;499;561;397;530;333
Лимей;59;395;708;300;859;508;699;947;246;251;794;442;564;101;1037;796;145;859;115;0;622;507;295;172;555;671;256;378;133;371;603;514;638;61;338;270;172;331;731;652;100;448;528;841;542;970;296;212;987;607;926;307;912;468;681;1019;529;993;384;508;282;476;217
Терей;617;237;585;448;533;124;97;445;488;440;721;180;729;698;475;680;718;618;685;622;0;842;329;449;77;623;675;915;735;923;181;780;663;561;294;376;696;315;638;90;634;184;806;279;80;531;368;765;503;69;468;315;667;857;664;511;214;431;238;225;370;256;405
Нарона;556;606;257;737;446;718;910;534;684;688;342;683;113;474;631;345;503;407;534;507;842;0;705;610;766;220;763;171;374;135;814;62;187;498;663;708;364;684;280;863;607;658;197;700;784;557;734;295;574;818;513;744;461;49;230;606;740;624;742;718;720;687;655
Сарона;354;99;448;168;564;212;404;652;171;150;639;149;592;396;742;588;441;649;411;295;329;705;0;123;259;485;394;605;409;598;308;643;526;235;42;126;370;88;500;357;316;152;669;545;249;675;117;438;692;311;631;57;697;695;526;724;234;698;91;212;90;181;78
Талано;231;222;571;127;687;335;527;775;74;78;762;270;668;273;865;711;318;772;288;172;449;610;123;0;383;608;297;482;286;475;431;617;649;112;165;98;247;158;623;480;219;275;631;668;370;798;124;315;815;434;754;134;820;572;649;847;357;821;211;335;110;304;45
Селори;540;160;509;397;540;47;144;452;430;388;699;128;653;622;482;649;641;625;608;555;77;766;259;383;0;546;624;839;668;846;112;703;587;494;217;299;629;238;561;97;575;107;729;286;104;537;291;698;509;52;475;264;673;780;587;518;137;438;187;148;319;179;338
Арутано;720;386;37;629;226;499;690;314;656;635;160;464;107;639;412;148;667;210;698;671;623;220;485;608;546;0;856;293;538;300;595;157;41;662;443;525;528;464;60;643;771;439;184;481;564;337;517;459;355;598;293;543;264;234;47;386;521;404;522;499;575;467;564
Орирасса;241;470;818;227;934;577;768;1022;223;272;1009;495;820;323;1106;958;342;1019;309;256;675;763;394;297;624;856;0;634;389;627;678;770;894;290;436;394;424;455;871;721;156;521;783;910;596;1045;421;468;1062;676;1001;360;1067;724;896;1094;604;1062;437;582;305;551;315
Лавей;428;678;330;609;519;791;983;607;556;560;415;752;186;346;704;418;375;480;406;378;915;171;605;482;839;293;634;0;246;49;887;135;260;370;647;579;235;640;353;936;479;731;149;773;852;630;606;166;647;890;586;616;534;121;303;679;813;697;693;791;591;760;527
Ретари;182;508;575;413;765;621;812;852;360;364;661;555;431;101;950;663;129;726;160;133;735;374;409;286;668;538;389;246;0;238;717;381;505;174;451;383;39;444;598;765;233;561;395;954;656;875;410;79;893;720;831;420;779;335;548;924;643;942;497;621;395;589;330
Кавара;421;686;338;602;527;799;991;615;549;553;423;744;194;339;712;425;368;488;398;371;923;135;598;475;846;300;627;49;238;0;895;143;267;363;640;572;228;633;361;944;472;739;198;781;844;638;599;159;655;898;594;609;541;97;311;687;821;704;686;799;584;768;519
Мивири;588;209;557;451;605;160;217;518;479;458;748;241;701;670;548;697;689;690;657;603;181;814;308;431;112;595;678;887;717;895;0;752;635;543;266;348;678;287;609;163;624;220;778;351;217;603;340;746;575;111;540;365;739;829;635;584;74;504;299;98;398;127;386
Нерин;563;543;195;744;384;656;848;471;691;695;280;621;51;481;569;282;510;345;541;514;780;62;643;617;703;157;770;135;381;143;752;0;124;505;600;682;370;621;218;800;614;596;134;638;721;494;674;302;512;755;451;700;398;77;168;544;678;561;680;656;727;624;662
Ирелис;687;427;78;670;267;540;731;355;697;676;156;505;81;606;452;158;634;221;665;638;663;187;526;649;587;41;894;260;505;267;635;124;0;629;484;566;495;505;101;684;738;480;143;521;605;378;558;426;395;639;334;583;274;201;43;427;561;445;563;539;616;508;604
Мари;119;334;683;239;799;447;639;886;186;190;785;382;556;161;977;787;206;850;176;61;561;498;235;112;494;662;290;370;174;363;543;505;629;0;277;209;135;270;723;592;134;387;519;780;482;910;236;204;927;546;866;246;903;460;673;959;469;933;323;447;222;416;157
Ватано;396;57;406;210;522;170;362;609;213;192;596;135;550;438;700;546;483;606;453;338;294;663;42;165;217;443;436;647;451;640;266;600;484;277;0;84;412;46;458;314;358;110;626;503;235;632;83;481;650;269;589;100;655;677;484;681;192;656;133;170;132;139;120
Элатано;329;139;488;209;603;252;443;691;171;167;678;217;632;371;781;628;415;688;385;270;376;708;126;98;299;525;394;579;383;572;348;682;566;209;84;0;344;61;540;396;317;192;708;585;317;714;27;413;732;351;670;183;737;669;566;763;274;737;217;252;160;220;95
Тейсса;205;469;565;374;754;582;773;842;320;325;650;516;421;123;940;653;168;715;183;172;696;364;370;247;629;528;424;235;39;228;678;370;495;135;412;344;0;405;588;726;269;522;384;915;616;865;371;69;882;681;821;381;769;325;538;914;604;932;458;582;356;550;291
Орарасса;390;78;427;256;543;191;383;630;232;228;617;156;571;432;720;567;476;627;446;331;315;684;88;158;238;464;455;640;444;633;287;621;505;270;46;61;405;0;479;335;378;131;647;524;256;653;53;474;671;290;609;145;676;698;505;702;213;677;178;191;177;159;156
Ливей;781;401;52;644;235;514;705;323;671;650;149;479;167;699;420;88;728;150;758;731;638;280;500;623;561;60;871;353;598;361;609;218;101;723;458;540;588;479;0;658;816;454;244;489;579;346;532;519;363;613;302;558;204;294;86;395;535;413;537;514;590;482;579
Терела;637;257;606;494;443;144;67;355;527;486;631;226;750;719;385;590;738;528;706;652;90;863;357;480;97;643;721;936;765;944;163;800;684;592;314;396;726;335;658;0;673;204;826;189;170;440;388;795;412;51;378;361;576;877;684;421;234;341;284;245;416;276;435
Нарасса;93;415;764;225;880;528;720;968;145;194;894;454;665;174;1058;896;194;959;161;100;634;607;316;219;575;771;156;479;233;472;624;614;738;134;358;317;269;378;816;673;0;468;628;861;554;991;343;312;1008;627;947;318;1012;569;782;1040;550;1014;396;528;263;497;238
Сарин;433;53;401;294;517;60;251;559;323;285;592;33;545;514;589;541;534;602;501;448;184;658;152;275;107;439;521;731;561;739;220;596;480;387;110;192;522;131;454;204;468;0;622;393;133;628;184;591;617;159;582;161;651;673;480;625;150;545;84;137;216;106;231
Севара;577;569;221;758;410;682;874;497;705;709;298;647;108;495;595;301;524;363;555;528;806;197;669;631;729;184;783;149;395;198;778;134;143;519;626;708;384;647;244;826;628;622;0;664;747;521;700;315;538;781;477;726;417;211;186;570;704;587;706;682;741;651;676
Арунира;826;446;443;683;254;333;256;167;716;674;442;414;587;907;197;402;927;339;894;841;279;700;545;668;286;481;910;773;954;781;351;638;521;780;503;585;915;524;489;189;861;393;664;0;359;252;577;939;224;240;189;550;388;715;516;232;423;153;473;434;605;465;623
Орилори;558;178;527;369;613;93;176;525;409;360;717;100;671;640;555;667;659;698;626;542;80;784;249;370;104;564;596;852;656;844;217;721;605;482;235;317;616;256;579;170;554;133;747;359;0;610;309;685;582;149;548;236;746;798;605;591;183;511;159;194;291;225;325
Лари;955;575;300;818;111;584;508;85;845;824;299;653;444;976;75;258;1005;196;1024;970;531;557;675;798;537;337;1045;630;875;638;603;494;378;910;632;714;865;653;346;440;991;628;521;252;610;0;706;796;29;491;80;732;244;571;373;49;674;100;712;685;764;656;753
Ретано;355;131;480;236;595;244;435;683;198;193;670;209;624;397;773;620;442;680;412;296;368;734;117;124;291;517;421;606;410;599;340;674;558;236;83;27;371;53;532;388;343;184;700;577;309;706;0;440;724;343;662;174;729;696;558;755;266;729;207;244;187;212;122
Кавей;262;538;496;443;685;651;842;773;389;394;582;585;352;180;871;584;208;646;239;212;765;295;438;315;698;459;468;166;79;159;746;302;426;204;481;413;69;474;519;795;312;591;315;939;685;796;440;0;813;750;752;450;700;256;469;845;672;863;527;651;425;619;360
Милина;972;593;317;835;128;557;480;67;863;842;317;638;461;993;62;276;1022;213;1041;987;503;574;692;815;509;355;1062;647;893;655;575;512;395;927;650;732;882;671;363;412;1008;617;538;224;582;29;724;813;0;463;61;749;262;589;390;55;647;71;696;657;782;674;770
Невара;592;212;561;449;494;99;106;406;482;440;682;180;705;674;436;641;693;579;660;607;69;818;311;434;52;598;676;890;720;898;111;755;639;546;269;351;681;290;613;51;627;159;781;240;149;491;343;750;463;0;429;316;627;832;639;472;185;392;239;200;371;231;390
Иререла;911;531;256;774;67;522;445;23;801;780;255;603;400;932;123;214;961;152;980;926;468;513;631;754;475;293;1001;586;831;594;540;451;334;866;589;670;821;609;302;378;947;582;477;189;548;80;662;752;61;429;0;688;200;527;329;116;612;113;662;623;720;613;709
Варела;365;157;505;133;621;217;408;709;173;124;696;136;649;407;746;645;452;706;422;307;315;744;57;134;264;543;360;616;420;609;365;700;583;246;100;183;381;145;558;361;318;161;726;550;236;732;174;450;749;316;688;0;755;706;584;781;291;702;77;269;55;238;89
Эласса;961;598;256;841;133;711;644;221;868;847;118;676;355;880;319;116;908;76;939;912;667;461;697;820;673;264;1067;534;779;541;739;398;274;903;655;737;769;676;204;576;1012;651;417;388;746;244;729;700;262;627;200;755;0;475;231;293;732;311;734;711;787;679;775
Тейлена;518;620;271;699;461;733;924;548;646;650;357;698;127;436;646;359;465;422;496;468;857;49;695;572;780;234;724;121;335;97;829;77;201;460;677;669;325;698;294;877;569;673;211;715;798;571;696;256;589;832;527;706;475;0;244;620;755;638;756;733;681;701;617
Орарона;731;427;78;670;262;540;731;350;697;676;112;505;125;649;447;115;678;177;708;681;664;230;526;649;587;47;896;303;548;311;635;168;43;673;484;566;538;505;86;684;782;480;186;516;605;373;558;469;390;639;329;584;231;244;0;422;561;440;563;539;616;508;604
Лилано;1004;624;349;867;160;565;489;122;894;873;348;647;493;1025;43;307;1054;245;1073;1019;511;606;724;847;518;386;1094;679;924;687;584;544;427;959;681;763;914;702;395;421;1040;625;570;232;591;49;755;845;55;472;116;781;293;620;422;0;655;80;705;666;813;697;802
Тевири;514;135;483;377;599;90;281;589;405;384;674;171;627;596;619;623;616;684;583;529;214;740;234;357;137;521;604;813;643;821;74;678;561;469;192;274;604;213;535;234;550;150;704;423;183;674;266;672;647;185;612;291;732;755;561;655;0;575;230;25;324;53;312
Налина;978;598;367;835;178;485;409;90;868;827;366;567;511;1043;44;325;1071;262;1047;993;431;624;698;821;438;404;1062;697;942;704;504;561;445;933;656;737;932;677;413;341;1014;545;587;153;511;100;729;863;71;392;113;702;311;638;440;80;575;0;625;586;757;618;776
Сарела;443;136;485;210;601;140;331;639;250;202;676;58;629;484;669;625;529;686;499;384;238;742;91;211;187;522;437;693;497;686;299;680;563;323;133;217;458;178;537;284;396;84;706;473;159;712;207;527;696;239;662;77;734;756;563;705;230;625;0;221;132;190;166
Танира;492;113;461;356;577;101;292;600;383;362;652;171;605;574;630;601;594;662;561;508;225;718;212;335;148;499;582;791;621;799;98;656;539;447;170;252;582;191;514;245;528;137;682;434;194;685;244;651;657;200;623;269;711;733;539;666;25;586;221;0;302;31;290
Арурасса;341;189;538;78;654;272;463;741;118;70;728;190;682;383;801;678;427;738;397;282;370;720;90;110;319;575;305;591;395;584;398;727;616;222;132;160;356;177;590;416;263;216;741;605;291;764;187;425;782;371;720;55;787;681;616;813;324;757;132;302;0;270;65
Оривей;461;81;430;324;546;132;324;632;351;330;621;139;574;543;662;570;562;631;530;476;256;687;181;304;179;467;551;760;589;768;127;624;508;416;139;220;550;159;482;276;497;106;651;465;225;656;212;619;674;231;613;238;679;701;508;697;53;618;190;31;270;0;259
Лавара;276;178;526;114;642;291;482;730;92;71;717;225;670;318;820;666;362;727;333;217;405;655;78;45;338;564;315;527;330;519;386;662;604;157;120;95;291;156;579;435;238;231;676;623;325;753;122;360;770;390;709;89;775;617;604;802;312;776;166;290;65;259;0
