;Рианская Лига:Вейра;Рианская Лига:Кассер;Рианская Лига:Невсер;Рианская Лига:Мересса;Рианская Лига:Дориал;Рианская Лига:Фалрен;Рианская Лига:Остранд;Рианская Лига:Арквен;Рианская Лига:Мариал;Рианская Лига:Эстис;Рианская Лига:Острис;Рианская Лига:Касранд;Рианская Лига:Ирар;Вальтерра:Астер;Вальтерра:Велорн;Вальтерра:Даран;Вальтерра:Велар;Вальтерра:Реларт;Вальтерра:Бреней;Вальтерра:Терет;Вальтерра:Дарен;Вальтерра:Лейвен;Келмарский Пакт:Карден;Келмарский Пакт:Дорвек;Келмарский Пакт:Варкел;Келмарский Пакт:Харден;Сольвианская Корона:Аурелл;Сольвианская Корона:Солена;Сольвианская Корона:Кармея;Сольвианская Корона:Вароса;Сольвианская Корона:Верира;Сольвианская Корона:Лусаль;Сольвианская Корона:Меретта;Сольвианская Корона:Калено;Сольвианская Корона:Розетта;Сольвианская Корона:Белаль;Сольвианская Корона:Карена;Сольвианская Корона:Деларо;Сольвианская Корона:Белира;Сольвианская Корона:Вараро;Саэрский Союз:Эйран;Саэрский Союз:Эйор;Саэрский Союз:Серрел;Лаорская Степь:Ордан;Лаорская Степь:Харун;Восточные Марки:Дарен;Восточные Марки:Ирет;Нерайская Лига:Нерасса;Нерайская Лига:Маорин;Нерайская Лига:Тейра;Нерайская Лига:Маоай;Нерайская Лига:Арулис
Рианская Лига:Острис;434;244;254;163;263;558;85;226;290;217;0;316;216;759;561;740;496;672;915;609;703;962;1425;1396;1643;1497;1445;1401;1155;1670;1265;1344;1397;1307;1317;1343;1377;1042;1265;1239;1904;2122;2043;2351;2812;2850;3462;3127;3465;3595;3292;3765
Рианская Лига:Касранд;259;368;491;452;85;284;272;497;568;412;316;0;152;698;624;646;417;466;822;530;571;925;1179;1116;1388;1200;1674;1584;1399;1865;1397;1520;1527;1462;1527;1534;1533;1259;1486;1355;1920;2156;2068;2449;2900;2770;3399;3179;3521;3625;3360;3794
Рианская Лига:Ирар;226;216;343;319;69;343;215;356;427;261;216;152;0;797;671;756;513;607;934;632;692;1019;1330;1267;1540;1347;1647;1584;1361;1859;1423;1523;1554;1477;1511;1529;1547;1238;1463;1388;2000;2230;2145;2495;2951;2886;3511;3247;3587;3702;3421;3872
Вальтерра:Астер;956;974;1012;908;760;921;676;974;1026;971;759;698;797;0;294;85;284;366;165;168;186;227;881;983;1099;1156;1324;1127;1130;1412;858;1055;970;963;1142;1100;1026;940;1139;793;1229;1470;1379;1809;2246;2095;2715;2497;2839;2932;2687;3101
Вальтерра:Велорн;874;800;799;685;657;897;492;750;791;777;561;624;671;294;0;337;274;512;455;263;386;432;1161;1235;1382;1393;1133;989;900;1276;776;920;904;851;963;947;920;723;942;731;1344;1566;1484;1827;2282;2309;2912;2578;2918;3039;2751;3209
Вальтерра:Даран;901;944;995;895;713;854;656;961;1017;947;740;646;756;85;337;0;247;283;178;131;103;294;824;912;1045;1081;1403;1210;1202;1496;943;1138;1055;1047;1222;1183;1111;1014;1217;878;1295;1539;1446;1888;2323;2130;2755;2567;2908;2996;2759;3165
Вальтерра:Велар;676;696;750;654;476;660;411;719;778;700;496;417;513;284;274;247;0;258;425;119;211;508;983;1014;1206;1157;1406;1260;1166;1548;1032;1191;1157;1116;1237;1220;1185;995;1215;980;1503;1740;1651;2049;2496;2375;2998;2765;3106;3208;2949;3377
Вальтерра:Реларт;694;819;912;835;548;610;590;896;962;846;672;466;607;366;512;283;258;0;418;257;180;571;755;761;975;899;1639;1470;1412;1757;1215;1398;1332;1313;1464;1436;1379;1234;1449;1154;1561;1809;1714;2170;2602;2325;2960;2836;3177;3255;3032;3423
Вальтерра:Бреней;1074;1122;1169;1067;891;1017;831;1133;1187;1124;915;822;934;165;455;178;425;418;0;307;255;179;758;893;969;1078;1410;1187;1240;1465;897;1115;996;1014;1224;1169;1071;1047;1231;826;1144;1392;1296;1769;2193;1952;2578;2418;2759;2838;2616;3006
Вальтерра:Терет;788;815;864;765;593;759;525;831;887;817;609;530;632;168;263;131;119;257;307;0;128;394;915;974;1138;1130;1383;1215;1160;1502;968;1144;1088;1061;1207;1180;1128;980;1193;910;1394;1634;1543;1958;2400;2257;2879;2660;3002;3098;2847;3267
Вальтерра:Дарен;821;890;956;863;644;762;618;928;988;901;703;571;692;186;386;103;211;180;255;128;0;394;788;849;1011;1009;1487;1303;1275;1590;1041;1232;1155;1143;1308;1273;1207;1091;1299;978;1391;1637;1543;1990;2424;2199;2828;2664;3006;3089;2858;3258
Вальтерра:Лейвен;1183;1188;1212;1103;984;1147;883;1169;1215;1178;962;925;1019;227;432;294;508;571;179;394;394;0;908;1062;1109;1249;1253;1018;1104;1292;723;946;818;842;1065;1004;898;909;1079;650;1002;1245;1153;1601;2031;1888;2501;2273;2614;2705;2465;2874
Келмарский Пакт:Карден;1346;1547;1656;1587;1264;1197;1344;1646;1713;1584;1425;1179;1330;881;1161;824;983;755;758;915;788;908;0;259;223;442;2160;1919;1998;2184;1616;1848;1693;1741;1973;1910;1791;1805;1985;1539;1559;1805;1703;2286;2647;1927;2566;2761;3086;3091;2986;3248
Келмарский Пакт:Дорвек;1241;1480;1607;1553;1198;1074;1321;1606;1677;1528;1396;1116;1267;983;1235;912;1014;761;893;974;849;1062;259;0;336;197;2301;2079;2113;2353;1784;2007;1873;1904;2115;2062;1959;1924;2118;1710;1800;2050;1947;2520;2891;2179;2816;3015;3342;3349;3239;3507
Келмарский Пакт:Варкел;1542;1756;1871;1804;1473;1384;1562;1862;1931;1797;1643;1388;1540;1099;1382;1045;1206;975;969;1138;1011;1109;223;336;0;444;2360;2109;2208;2368;1803;2039;1872;1930;2172;2104;1976;2014;2188;1725;1663;1901;1799;2402;2738;1892;2521;2817;3135;3117;3048;3269
Келмарский Пакт:Харден;1288;1553;1690;1648;1278;1112;1428;1697;1768;1608;1497;1200;1347;1156;1393;1081;1157;899;1078;1130;1009;1249;442;197;444;0;2479;2265;2282;2541;1972;2192;2064;2091;2295;2246;2147;2095;2295;1899;1995;2244;2141;2716;3085;2332;2963;3203;3528;3527;3428;3684
Сольвианская Корона:Аурелл;1873;1654;1546;1450;1669;1958;1433;1481;1464;1588;1445;1674;1647;1324;1133;1403;1406;1639;1410;1383;1487;1253;2160;2301;2360;2479;0;303;299;317;592;353;591;465;188;274;452;416;191;668;1328;1387;1376;1271;1701;2470;2926;2127;2425;2645;2216;2804
Сольвианская Корона:Солена;1808;1631;1548;1441;1595;1867;1372;1483;1480;1574;1401;1584;1584;1127;989;1210;1260;1470;1187;1215;1303;1018;1919;2079;2109;2265;303;0;421;288;309;72;288;180;173;70;150;390;257;387;1032;1110;1089;1074;1527;2176;2650;1926;2239;2437;2039;2602
Сольвианская Корона:Кармея;1587;1358;1248;1153;1388;1681;1149;1183;1165;1292;1155;1399;1361;1130;900;1202;1166;1412;1240;1160;1275;1104;1998;2113;2208;2282;299;421;0;586;583;419;645;491;253;353;521;194;168;640;1409;1516;1485;1491;1938;2551;3051;2345;2655;2858;2452;3021
Сольвианская Корона:Вароса;2084;1893;1800;1697;1873;2149;1645;1735;1726;1833;1670;1865;1859;1412;1276;1496;1548;1757;1465;1502;1590;1292;2184;2353;2368;2541;317;288;586;0;570;359;498;451;359;332;394;632;428;645;1124;1138;1144;963;1385;2243;2662;1817;2110;2335;1900;2493
Сольвианская Корона:Верира;1638;1506;1451;1336;1421;1672;1219;1389;1400;1461;1265;1397;1423;858;776;943;1032;1215;897;968;1041;723;1616;1784;1803;1972;592;309;583;570;0;244;132;130;415;319;175;443;469;78;837;976;929;1092;1555;1972;2489;1905;2235;2399;2050;2568
Сольвианская Корона:Лусаль;1746;1575;1497;1388;1532;1802;1312;1433;1432;1521;1344;1520;1523;1055;920;1138;1191;1398;1115;1144;1232;946;1848;2007;2039;2192;353;72;419;359;244;0;244;114;193;82;107;354;267;321;1004;1098;1071;1097;1555;2149;2635;1944;2262;2452;2064;2618
Сольвианская Корона:Меретта;1769;1638;1581;1467;1552;1801;1351;1519;1529;1592;1397;1527;1554;970;904;1055;1157;1332;996;1088;1155;818;1693;1873;1872;2064;591;288;645;498;132;244;0;154;436;325;139;533;507;178;765;878;841;963;1426;1909;2407;1782;2110;2281;1923;2448
Сольвианская Корона:Калено;1696;1543;1475;1364;1480;1742;1268;1412;1417;1493;1307;1462;1477;963;851;1047;1116;1313;1014;1061;1143;842;1741;1904;1930;2091;465;180;491;451;130;114;154;0;295;192;71;384;358;208;918;1031;996;1083;1545;2061;2561;1917;2241;2420;2049;2587
Сольвианская Корона:Розетта;1737;1537;1442;1339;1528;1811;1297;1377;1367;1476;1317;1527;1511;1142;963;1222;1237;1464;1224;1207;1308;1065;1973;2115;2172;2295;188;173;253;359;415;193;436;295;0;113;299;275;86;488;1196;1282;1259;1237;1685;2341;2822;2092;2402;2605;2199;2769
Сольвианская Корона:Белаль;1754;1570;1485;1378;1541;1817;1316;1420;1415;1513;1343;1534;1529;1100;947;1183;1220;1436;1169;1180;1273;1004;1910;2062;2104;2246;274;70;353;332;319;82;325;192;113;0;187;322;193;395;1083;1171;1146;1144;1598;2228;2709;1996;2310;2507;2110;2671
Сольвианская Корона:Карена;1767;1613;1544;1432;1551;1812;1338;1480;1484;1562;1377;1533;1547;1026;920;1111;1185;1379;1071;1128;1207;898;1791;1959;1976;2147;452;150;521;394;175;107;139;71;299;187;0;434;373;252;898;995;966;1022;1483;2043;2531;1861;2182;2366;1988;2532
Сольвианская Корона:Деларо;1464;1262;1169;1065;1258;1544;1024;1103;1096;1201;1042;1259;1238;940;723;1014;995;1234;1047;980;1091;909;1805;1924;2014;2095;416;390;194;632;443;354;533;384;275;322;434;0;227;485;1279;1411;1369;1451;1909;2411;2931;2294;2614;2800;2418;2966
Сольвианская Корона:Белира;1689;1480;1379;1279;1484;1771;1249;1314;1301;1416;1265;1486;1463;1139;942;1217;1215;1449;1231;1193;1299;1079;1985;2118;2188;2295;191;257;168;428;469;267;507;358;86;193;373;227;0;537;1270;1363;1338;1323;1770;2415;2902;2178;2487;2691;2284;2854
Сольвианская Корона:Вараро;1600;1481;1434;1318;1383;1627;1189;1373;1388;1439;1239;1355;1388;793;731;878;980;1154;826;910;978;650;1539;1710;1725;1899;668;387;640;645;78;321;178;208;488;395;252;485;537;0;801;957;903;1113;1574;1926;2455;1909;2243;2398;2062;2567
Саэрский Союз:Эйран;2179;2144;2134;2018;1974;2149;1836;2080;2110;2120;1904;1920;2000;1229;1344;1295;1503;1561;1144;1394;1391;1002;1559;1800;1663;1995;1328;1032;1409;1124;837;1004;765;918;1196;1083;898;1279;1270;801;0;254;154;743;1091;1145;1654;1275;1616;1704;1477;1874
Саэрский Союз:Эйор;2415;2364;2345;2229;2206;2391;2057;2288;2314;2336;2122;2156;2230;1470;1566;1539;1740;1809;1392;1634;1637;1245;1805;2050;1901;2244;1387;1110;1516;1138;976;1098;878;1031;1282;1171;995;1411;1363;957;254;0;103;536;842;1110;1540;1027;1369;1474;1225;1644
Саэрский Союз:Серрел;2327;2284;2270;2153;2120;2299;1976;2214;2242;2258;2043;2068;2145;1379;1484;1446;1651;1714;1296;1543;1543;1153;1703;1947;1799;2141;1376;1089;1485;1144;929;1071;841;996;1259;1146;966;1369;1338;903;154;103;0;625;945;1100;1566;1122;1463;1557;1323;1727
Лаорская Степь:Ордан;2701;2594;2543;2428;2485;2709;2300;2481;2492;2551;2351;2449;2495;1809;1827;1888;2049;2170;1769;1958;1990;1601;2286;2520;2402;2716;1271;1074;1491;963;1092;1097;963;1083;1237;1144;1022;1451;1323;1113;743;536;625;0;463;1515;1793;857;1165;1373;967;1534
Лаорская Степь:Харун;3154;3055;3006;2891;2939;3156;2759;2944;2955;3013;2812;2900;2951;2246;2282;2323;2496;2602;2193;2400;2424;2031;2647;2891;2738;3085;1701;1527;1938;1385;1555;1555;1426;1545;1685;1598;1483;1909;1770;1574;1091;842;945;463;0;1513;1617;465;725;973;515;1121
Восточные Марки:Дарен;3015;3070;3100;2990;2842;2930;2769;3055;3099;3065;2850;2770;2886;2095;2309;2130;2375;2325;1952;2257;2199;1888;1927;2179;1892;2332;2470;2176;2551;2243;1972;2149;1909;2061;2341;2228;2043;2411;2415;1926;1145;1110;1100;1515;1513;0;643;1292;1505;1366;1522;1488
Восточные Марки:Ирет;3647;3688;3709;3597;3469;3567;3384;3662;3702;3679;3462;3399;3511;2715;2912;2755;2998;2960;2578;2879;2828;2501;2566;2816;2521;2963;2926;2650;3051;2662;2489;2635;2407;2561;2822;2709;2531;2931;2902;2455;1654;1540;1566;1793;1617;643;0;1238;1304;1055;1412;1114
Нерайская Лига:Нерасса;3437;3371;3338;3222;3227;3418;3067;3278;3297;3336;3127;3179;3247;2497;2578;2567;2765;2836;2418;2660;2664;2273;2761;3015;2817;3203;2127;1926;2345;1817;1905;1944;1782;1917;2092;1996;1861;2294;2178;1909;1275;1027;1122;857;465;1292;1238;0;342;518;239;677
Нерайская Лига:Маорин;3778;3709;3674;3558;3568;3760;3406;3614;3631;3674;3465;3521;3587;2839;2918;2908;3106;3177;2759;3002;3006;2614;3086;3342;3135;3528;2425;2239;2655;2110;2235;2262;2110;2241;2402;2310;2182;2614;2487;2243;1616;1369;1463;1165;725;1505;1304;342;0;314;219;418
Нерайская Лига:Тейра;3884;3838;3814;3698;3678;3851;3531;3756;3779;3808;3595;3625;3702;2932;3039;2996;3208;3255;2838;3098;3089;2705;3091;3349;3117;3527;2645;2437;2858;2335;2399;2452;2281;2420;2605;2507;2366;2800;2691;2398;1704;1474;1557;1373;973;1366;1055;518;314;0;513;170
Нерайская Лига:Маоай;3617;3536;3495;3380;3404;3606;3235;3434;3449;3498;3292;3360;3421;2687;2751;2759;2949;3032;2616;2847;2858;2465;2986;3239;3048;3428;2216;2039;2452;1900;2050;2064;1923;2049;2199;2110;1988;2418;2284;2062;1477;1225;1323;967;515;1522;1412;239;219;513;0;634
Нерайская Лига:Арулис;4053;4008;3984;3868;3847;4019;3701;3926;3949;3978;3765;3794;3872;3101;3209;3165;3377;3423;3006;3267;3258;2874;3248;3507;3269;3684;2804;2602;3021;2493;2568;2618;2448;2587;2769;2671;2532;2966;2854;2567;1874;1644;1727;1534;1121;1488;1114;677;418;170;634;0
