Государство/регион;Город;Население;X_Лиаверн_км;Y_Лиаверн_км
Арвель;Витен;23503;1359.8;1930.0
Арвель;Фелин;22131;1333.0;1706.2
Арвель;Невел;21516;982.1;1941.5
Арвель;Овер;21118;1578.6;1409.6
Арвель;Рарин;21113;1716.0;1316.5
Арвель;Семер;20775;1361.7;1605.2
Арвель;Энел;20714;1014.4;1925.1
Арвель;Датер;19532;1053.2;1898.6
Арвель;Матарен;18723;1438.3;1531.4
Арвель;Бевер;17802;1190.8;1743.7
Арвель;Лерон;17705;1540.4;1435.1
Арвель;Братер;17368;1223.7;1714.0
Арвель;Лавель;15495;1155.0;1707.8
Арвель;Тарин;15435;1121.7;1815.3
Арвель;Аверин;15106;1327.8;1592.8
Арвель;Дорвен;14948;1340.7;1804.2
Арвель;Кетер;14494;1357.4;1906.0
Арвель;Канар;14201;962.4;1730.8
Арвель;Ревен;14115;1335.0;2093.2
Арвель;Нарель;14031;819.6;1738.7
Арвель;Велен;13773;1375.7;1637.2
Арвель;Линел;13768;1412.9;1553.1
Арвель;Меден;13758;1543.9;1463.4
Арвель;Алин;13585;1524.7;1481.8
Арвель;Телор;13118;1341.4;1884.7
Арвель;Исел;12773;963.7;2012.4
Арвель;Десел;11845;1033.9;1929.5
Арвель;Новел;11744;1203.0;1727.1
Арвель;Вимар;11728;881.4;1738.3
Арвель;Федар;11219;1337.3;1613.7
Арвель;Нерен;10883;936.8;2004.9
Арвель;Олеран;10505;1380.8;1592.2
Арвель;Расел;10179;1338.8;2069.3
Арвель;Этар;10037;1355.8;1695.7
Арвель;Дарон;9913;992.2;1698.6
Арвель;Мавел;9848;884.4;2101.8
Арвель;Бемер;9814;1134.2;1781.5
Арвель;Лелин;9592;1489.7;1489.6
Арвель;Бралор;9401;1638.8;1378.4
Арвель;Ламен;9309;903.8;2084.1
Арвель;Танар;9200;1524.8;1503.3
Арвель;Авемер;8994;1115.6;1708.4
Арвель;Дотен;8859;1339.2;1741.6
Арвель;Кевел;8263;1313.8;1622.1
Арвель;Карон;8146;1347.9;1843.5
Арвель;Реден;8067;1414.6;1576.7
Арвель;Нанел;7975;836.6;1723.7
Арвель;Велдар;7879;797.3;1734.0
Арвель;Лирин;7829;1243.4;1704.6
Арвель;Мелер;7809;1080.6;1715.8
Арвель;Арен;7731;1067.4;1864.9
Арвель;Теден;7727;1134.9;1694.3
Арвель;Итен;7678;1006.4;1732.3
Арвель;Детер;7659;1348.3;1667.1
Арвель;Савен;7510;1148.6;1807.4
Арвель;Нотен;7141;1678.7;1339.2
Арвель;Вилер;6888;1322.3;1822.9
Арвель;Фемер;6449;1051.3;1724.9
Арвель;Немен;6334;1038.7;1707.4
Арвель;Олан;6303;865.9;1723.4
Арвель;Рарен;6290;1699.9;1302.7
Арвель;Элор;6288;944.1;2038.2
Арвель;Датен;6173;1679.2;1315.2
Арвель;Марин;6012;1346.9;2038.6
Арвель;Бедал;5582;1183.1;1762.8
Арвель;Ледар;5521;1031.1;1887.1
Арвель;Бралин;5493;1217.8;1683.7
Арвель;Ларан;5452;1351.5;1778.2
Арвель;Татен;5263;917.6;2068.5
Арвель;Авенор;5079;1156.0;1742.7
Арвель;Додар;4978;1577.7;1436.4
Арвель;Кетар;4920;1317.5;2023.4
Арвель;Кавел;4701;1107.4;1854.6
Арвель;Ревел;4543;1250.6;1649.3
Арвель;Навер;4499;1341.6;1648.0
Арвель;Ведал;4423;1275.0;1665.2
Арвель;Линор;4415;1311.4;1973.3
Арвель;Арон;4212;1372.3;1543.6
Арвель;Тесел;4082;1336.2;1935.8
Арвель;Итер;4022;1654.1;1359.8
Арвель;Дерен;4011;912.8;2122.2
Арвель;Санор;3965;919.0;2034.8
Арвель;Ноден;3933;1464.7;1535.8
Арвель;Вилен;3837;1414.8;1532.9
Арвель;Феран;3819;1071.3;1741.6
Арвель;Нелан;3765;1360.0;1999.5
Арвель;Одал;3653;1362.9;1962.9
Арвель;Ратар;3623;1380.6;1871.0
Арвель;Селан;3590;1054.0;1840.7
Арвель;Эран;3524;1673.2;1390.9
Арвель;Давер;3491;1365.0;1727.8
Арвель;Мелтан;3461;1603.0;1413.1
Арвель;Бенел;3432;1310.4;1664.3
Арвель;Лемар;3350;1354.4;1579.8
Арвель;Бравен;3335;1356.2;2089.2
Арвель;Ланар;3264;1616.0;1373.9
Арвель;Тамар;3258;936.3;1738.3
Арвель;Донел;3154;1389.5;1652.9
Арвель;Кедал;3140;1026.7;1952.3
Арвель;Каден;3139;1224.2;1740.1
Арвель;Ресел;3123;1310.9;1765.5
Арвель;Налин;3079;926.6;1716.2
Арвель;Верен;3078;1133.9;1721.6
Арвель;Ливер;3065;1097.9;1697.4
Арвель;Медал;3025;1442.8;1503.1
Арвель;Терин;3000;1180.0;1789.0
Келмарский Пакт;Карден;94000;1488.7;2524.2
Келмарский Пакт;Дорвек;72000;1278.2;2674.6
Келмарский Пакт;Варкел;61000;1612.5;2709.9
Келмарский Пакт;Харден;54000;1191.5;2851.5
Келмарский Пакт;Векмор;30829;1514.8;2554.4
Келмарский Пакт;Торвен;29237;1569.8;2632.6
Келмарский Пакт;Гронкар;28315;1522.3;2594.9
Келмарский Пакт;Беласт;22346;1412.0;2464.6
Келмарский Пакт;Форден;20877;1398.0;2521.0
Келмарский Пакт;Бранек;18382;1344.0;2585.8
Келмарский Пакт;Морден;17917;1646.5;2805.8
Келмарский Пакт;Арнир;12810;1302.3;2675.2
Келмарский Пакт;Харвер;11844;1544.9;2566.7
Келмарский Пакт;Скардан;9586;1239.6;2807.2
Келмарский Пакт;Ренгар;8522;1499.3;2413.9
Келмарский Пакт;Гартар;8205;1544.7;2616.6
Келмарский Пакт;Ардор;8137;1287.0;2715.3
Келмарский Пакт;Гронмор;8041;1610.5;2780.0
Келмарский Пакт;Келкар;6879;1576.5;2687.5
Келмарский Пакт;Тортар;6337;1524.8;2571.9
Келмарский Пакт;Дорнир;5196;1588.3;2705.2
Келмарский Пакт;Морнар;4638;1608.0;2750.7
Келмарский Пакт;Белдор;4444;1568.8;2612.6
Келмарский Пакт;Векрик;4210;1510.8;2533.8
Келмарский Пакт;Бранвен;3932;1593.9;2670.5
Келмарский Пакт;Драмнар;3856;1584.4;2647.2
Келмарский Пакт;Вардек;3460;1309.4;2636.2
Келмарский Пакт;Картар;3000;1635.1;2824.7
Келмарский Пакт;Харвен;3000;1504.5;2511.8
Келмарский Пакт;Скардек;3000;1442.3;2418.5
Келмарский Пакт;Ренвен;3000;1494.1;2445.1
Келмарский Пакт;Фордор;3000;1329.8;2626.9
Келмарский Пакт;Арвек;3000;1420.8;2482.6
Келмарский Пакт;Келмор;3000;1265.5;2707.9
Корона Сольвии;Аурелл;268000;1280.0;374.0
Корона Сольвии;Солена;182000;1476.8;605.0
Корона Сольвии;Кармея;139000;1056.8;573.5
Корона Сольвии;Вароса;112000;1594.9;342.5
Корона Сольвии;Велира;96849;1534.0;908.9
Корона Сольвии;Лусаль;90989;1462.9;676.0
Корона Сольвии;Меретта;90785;1645.3;838.0
Корона Сольвии;Калено;84644;1500.8;783.6
Корона Сольвии;Росена;76869;1309.5;559.6
Корона Сольвии;Белара;73005;1407.2;616.3
Корона Сольвии;Лумера;70899;1551.8;734.6
Корона Сольвии;Савора;56181;1118.1;757.6
Корона Сольвии;Ротала;55178;1223.9;556.8
Корона Сольвии;Новесена;50477;1546.3;986.1
Корона Сольвии;Велера;49463;1476.8;733.2
Корона Сольвии;Терел;49240;1005.6;896.3
Корона Сольвии;Левера;47599;972.2;960.4
Корона Сольвии;Мелия;47397;1052.5;859.6
Корона Сольвии;Калелена;45083;1302.6;207.2
Корона Сольвии;Фавел;41073;1170.0;701.7
Корона Сольвии;Орелера;38527;931.8;993.8
Корона Сольвии;Сасера;38289;1598.7;775.5
Корона Сольвии;Сетала;36772;1299.7;248.0
Корона Сольвии;Дена;35106;1261.7;460.4
Корона Сольвии;Тасера;32553;1266.6;408.1
Корона Сольвии;Бесера;31461;1535.1;871.8
Корона Сольвии;Авелена;31340;1122.2;803.5
Корона Сольвии;Кария;31001;1013.4;933.9
Корона Сольвии;Масера;30159;1272.9;312.7
Корона Сольвии;Каремара;29563;1265.8;501.7
Корона Сольвии;Лутора;29553;912.7;1026.5
Корона Сольвии;Солемера;29211;1127.2;717.0
Корона Сольвии;Ватора;25204;1534.6;830.1
Корона Сольвии;Ланета;22138;1078.2;834.2
Корона Сольвии;Илевена;20814;1557.6;1081.9
Корона Сольвии;Аутина;20719;1503.0;691.6
Корона Сольвии;Ролия;20615;1175.6;638.5
Корона Сольвии;Новерел;18611;1562.2;1026.3
Корона Сольвии;Вена;18475;1340.2;577.7
Корона Сольвии;Терия;18036;1223.8;598.4
Корона Сольвии;Лелора;17518;1083.7;792.4
Корона Сольвии;Метина;16695;1440.2;645.9
Корона Сольвии;Калетина;16662;1691.1;884.6
Корона Сольвии;Фария;16251;1707.3;916.6
Корона Сольвии;Оредара;15861;1653.0;896.6
Корона Сольвии;Сатора;15171;1142.7;676.2
Корона Сольвии;Сарелла;14978;1299.2;524.7
Корона Сольвии;Десена;14889;1365.5;582.0
Корона Сольвии;Тарена;14884;1665.9;875.3
Корона Сольвии;Бенета;14764;954.2;989.0
Корона Сольвии;Аветора;14762;1196.3;611.8
Корона Сольвии;Фаверна;14756;1104.7;788.1
Корона Сольвии;Мадара;14638;1553.9;906.5
Корона Сольвии;Каремера;14612;1417.8;654.3
Корона Сольвии;Лусса;14461;1654.6;855.7
Корона Сольвии;Вария;14381;1267.4;439.4
Корона Сольвии;Лана;14355;1331.6;550.5
Корона Сольвии;Илесса;14233;1483.5;755.9
Корона Сольвии;Аумара;13935;1242.8;403.4
Корона Сольвии;Ровел;13907;1434.2;668.8
Корона Сольвии;Новевия;13779;1457.7;740.8
Корона Сольвии;Ветина;13766;1097.2;808.0
Корона Сольвии;Тетала;13721;1246.9;477.8
Корона Сольвии;Лерена;13591;1156.6;721.4
Корона Сольвии;Мевена;13490;1540.4;1009.4
Корона Сольвии;Делвена;13307;1189.1;687.6
Корона Сольвии;Фарена;12908;1583.5;1068.3
Корона Сольвии;Оресера;12571;1277.3;348.8
Корона Сольвии;Савел;12545;1600.6;829.0
Корона Сольвии;Серел;12330;1587.4;743.7
Корона Сольвии;Дерена;12237;1624.4;812.2
Корона Сольвии;Тамера;12199;1563.3;754.0
Корона Сольвии;Берия;12083;1531.3;719.5
Корона Сольвии;Авесера;11630;1547.4;938.8
Корона Сольвии;Катала;11596;1293.8;491.5
Корона Сольвии;Малора;10688;1065.1;808.0
Корона Сольвии;Оресса;10609;1468.2;700.8
Корона Сольвии;Лунета;10486;1540.5;798.4
Корона Сольвии;Солетала;10227;1074.3;863.7
Корона Сольвии;Вадара;10160;1028.4;889.4
Корона Сольвии;Лавесса;10133;900.8;1047.2
Корона Сольвии;Илетала;10105;1389.5;589.7
Корона Сольвии;Аулера;10027;1712.9;944.9
Корона Сольвии;Ровера;9973;1304.6;343.0
Корона Сольвии;Новерия;9261;1511.0;764.0
Корона Сольвии;Тесена;9027;1201.9;636.7
Корона Сольвии;Мерел;8917;1522.5;808.9
Корона Сольвии;Лусена;8912;1059.9;881.5
Корона Сольвии;Фанета;8757;1558.6;1059.6
Корона Сольвии;Оретора;8588;1140.7;744.0
Корона Сольвии;Савена;8391;1351.9;541.2
Корона Сольвии;Сесса;7989;997.1;959.1
Корона Сольвии;Делора;7719;1427.1;629.9
Корона Сольвии;Талия;7684;1739.2;943.8
Корона Сольвии;Белия;7612;1177.4;659.3
Корона Сольвии;Аветала;7569;1535.2;966.4
Корона Сольвии;Тавена;7524;1228.1;522.2
Корона Сольвии;Марелла;7041;969.6;937.0
Корона Сольвии;Белмара;7038;1225.5;482.5
Корона Сольвии;Лулия;6935;1373.5;613.9
Корона Сольвии;Соледара;6563;1281.3;211.8
Корона Сольвии;Валера;6170;1560.8;868.9
Корона Сольвии;Ладара;5973;953.4;953.5
Корона Сольвии;Илелия;5734;1580.7;794.3
Корона Сольвии;Аудара;5722;1226.4;577.5
Корона Сольвии;Рория;5720;1207.4;569.9
Корона Сольвии;Новетала;5600;1295.6;286.6
Корона Сольвии;Вемара;5551;1674.7;847.0
Корона Сольвии;Телора;5218;904.6;1003.5
Корона Сольвии;Летора;5108;1716.5;880.9
Корона Сольвии;Тавелла;4993;1232.5;626.5
Корона Сольвии;Солвера;4751;1577.0;1048.2
Корона Сольвии;Фатала;4495;1581.6;1006.2
Корона Сольвии;Оререл;4436;1560.1;964.5
Корона Сольвии;Салера;4395;1322.7;170.4
Корона Сольвии;Серена;4286;1732.5;912.7
Корона Сольвии;Дедара;4126;1509.0;720.7
Корона Сольвии;Тарел;3775;1275.0;243.0
Корона Сольвии;Бетора;3649;1442.6;708.5
Корона Сольвии;Аверел;3598;1293.2;323.3
Корона Сольвии;Марена;3534;1306.7;306.3
Корона Сольвии;Маверна;3505;1628.9;792.4
Корона Сольвии;Лумара;3488;1625.6;843.0
Корона Сольвии;Соленета;3401;1319.1;532.0
Корона Сольвии;Вавел;3386;1403.1;669.7
Корона Сольвии;Лалена;3378;1237.1;436.5
Корона Сольвии;Илелена;3341;993.0;922.3
Корона Сольвии;Аусена;3322;1555.5;839.6
Корона Сольвии;Ровена;3234;1152.9;763.0
Корона Сольвии;Новелора;3227;1466.9;656.1
Корона Сольвии;Весена;3142;1212.1;665.2
Корона Сольвии;Тевера;3139;1096.5;846.6
Корона Сольвии;Лелера;3127;1311.4;227.3
Корона Сольвии;Мерена;3089;1684.2;925.5
Корона Сольвии;Фалена;3072;1587.8;980.3
Корона Сольвии;Фасера;3035;954.2;1009.5
Корона Сольвии;Орерия;3001;1502.0;827.9
Корона Сольвии;Садара;3000;1299.4;165.9
Корона Сольвии;Селена;3000;1144.7;699.4
Корона Сольвии;Денета;3000;1497.4;738.7
Корона Сольвии;Татина;3000;1557.0;714.7
Корона Сольвии;Белена;3000;936.1;1036.1
Саэрский Союз;Эйран;114000;2317.1;1204.1
Саэрский Союз;Эйлас;85081;2502.2;1030.3
Саэрский Союз;Серрел;50082;2440.5;1112.6
Саэрский Союз;Мейран;49498;2342.0;1258.6
Саэрский Союз;Вейран;44514;2068.9;1524.2
Саэрский Союз;Лорай;38794;2157.1;1398.4
Саэрский Союз;Тейрал;29549;2551.3;970.0
Саэрский Союз;Эрел;25036;2489.4;1312.3
Саэрский Союз;Эрис;21396;2586.5;1482.3
Саэрский Союз;Райел;20179;2593.7;899.9
Саэрский Союз;Сарен;18068;2576.2;1443.1
Саэрский Союз;Нирель;16878;2519.5;1367.3
Саэрский Союз;Асай;16252;2369.4;1183.8
Саэрский Союз;Вейнир;14439;2226.6;1331.7
Саэрский Союз;Сетар;13642;2343.2;1194.9
Саэрский Союз;Сарел;12140;2091.9;1493.1
Саэрский Союз;Эймир;11866;2516.8;1009.3
Саэрский Союз;Танел;10347;2363.1;1259.8
Саэрский Союз;Минел;10305;2309.3;1231.6
Саэрский Союз;Лейтел;10249;2274.5;1270.4
Саэрский Союз;Орлас;9800;2563.3;1422.4
Саэрский Союз;Нинар;9567;2415.9;1132.0
Саэрский Союз;Мейтар;8899;2050.4;1531.9
Саэрский Союз;Тейтар;8846;2141.0;1411.0
Саэрский Союз;Лоран;8465;2174.0;1359.4
Саэрский Союз;Илар;8331;2596.0;1446.8
Саэрский Союз;Эвир;8087;2480.0;1061.4
Саэрский Союз;Райлас;7952;2303.6;1254.5
Саэрский Союз;Сайран;7371;2210.3;1349.8
Саэрский Союз;Ренар;7245;2436.3;1140.3
Саэрский Союз;Арас;7182;2458.3;1085.8
Саэрский Союз;Вейтел;6815;2323.1;1247.1
Саэрский Союз;Сенел;6698;2541.0;1433.2
Саэрский Союз;Сарас;6453;2562.9;933.1
Саэрский Союз;Эйтар;6319;2177.6;1397.6
Саэрский Союз;Тарей;6234;2055.1;1554.4
Саэрский Союз;Мирей;6059;2143.4;1471.7
Саэрский Союз;Лейлас;6029;2119.2;1446.7
Саэрский Союз;Ортел;5923;2466.1;1313.9
Саэрский Союз;Нимир;4190;2382.3;1165.9
Саэрский Союз;Тейнел;3405;2507.6;1053.4
Саэрский Союз;Ломир;3398;2546.0;994.9
Саэрский Союз;Ирелан;3351;2457.5;1052.2
Саэрский Союз;Этел;3066;2221.1;1311.1
Саэрский Союз;Сайлен;3000;2431.8;1275.1
Саэрский Союз;Ресай;3000;2561.1;1469.2
Саэрский Союз;Анар;3000;2376.5;1288.7
Саэрский Союз;Веймар;3000;2403.9;1277.8
Саэрский Союз;Сател;3000;2486.5;1345.2
Саэрский Союз;Эйнар;3000;2549.2;1400.7
Лаорская степь;Ордан;66000;2545.4;496.5
Лаорская степь;Харун;57000;2980.3;337.5
Лаорская степь;Аркар;26186;2437.1;530.8
Лаорская степь;Малор;22261;2025.4;623.0
Лаорская степь;Эрким;10883;2311.1;561.6
Лаорская степь;Джалор;9327;3181.3;326.3
Лаорская степь;Калир;9161;2584.0;507.6
Лаорская степь;Куран;8806;2721.1;459.1
Лаорская степь;Джалан;7168;2221.1;564.2
Лаорская степь;Саран;5651;2567.6;493.4
Лаорская степь;Нарак;4604;1945.5;639.2
Лаорская степь;Урлан;3691;2260.3;575.9
Лаорская степь;Терак;3262;2666.4;479.4
Лаорская степь;Калун;3000;2694.5;475.8
Лаорская степь;Харак;3000;2818.1;428.9
Восточные Марки;Дарен;112000;3282.6;1819.8
Восточные Марки;Ирет;69944;3906.1;1663.5
Восточные Марки;Увар;37756;2998.2;2174.6
Восточные Марки;Девин;36166;3310.2;1894.1
Восточные Марки;Олвен;32816;3746.2;2174.1
Восточные Марки;Ремар;32787;3345.5;1875.2
Восточные Марки;Керан;31050;3665.3;1860.7
Восточные Марки;Эндар;30477;3684.5;2020.4
Восточные Марки;Мелин;29206;3854.1;1675.9
Восточные Марки;Талес;27544;3107.7;2036.4
Восточные Марки;Тердар;18412;3445.2;1838.5
Восточные Марки;Варлен;17934;3630.8;1764.6
Восточные Марки;Ремлан;17191;3716.4;2120.3
Восточные Марки;Ирлан;10887;3167.7;1992.5
Восточные Марки;Мелрен;10617;3278.8;1903.8
Восточные Марки;Велтал;10581;3677.9;1933.2
Восточные Марки;Фарден;10570;3967.0;1645.3
Восточные Марки;Умар;10547;3695.2;1731.8
Восточные Марки;Девос;10283;3759.6;2267.7
Восточные Марки;Сардел;8529;3652.4;1817.7
Восточные Марки;Энден;8374;3771.7;1717.8
Восточные Марки;Касир;7920;3018.0;2128.9
Восточные Марки;Йортен;7910;3076.1;2054.0
Восточные Марки;Таллан;7838;4022.8;1633.8
Восточные Марки;Дармар;7673;3415.5;1852.4
Восточные Марки;Керос;7287;3115.4;2017.2
Восточные Марки;Эйор;6633;3686.0;1989.4
Восточные Марки;Терлен;6626;3522.7;1804.9
Восточные Марки;Олет;6119;4034.0;1613.7
Восточные Марки;Варис;6006;3993.3;1630.2
Восточные Марки;Ремден;5928;3052.3;2082.7
Восточные Марки;Ирдел;5863;3553.0;1801.1
Восточные Марки;Мелвар;5511;3943.3;1647.8
Восточные Марки;Велден;4507;3192.3;1968.8
Восточные Марки;Уран;4279;3752.8;2207.9
Восточные Марки;Девдар;4100;2955.4;2242.3
Восточные Марки;Сарвен;4033;3670.0;1834.4
Восточные Марки;Атен;3867;3716.0;1725.0
Восточные Марки;Касмар;3446;3219.1;1959.1
Восточные Марки;Йорвен;3416;3755.8;2237.2
Восточные Марки;Талос;3367;3004.8;2154.9
Восточные Марки;Дарлан;3000;3271.0;1933.6
Восточные Марки;Керор;3000;3585.2;1783.4
Восточные Марки;Терсар;3000;3687.6;1955.0
Восточные Марки;Олор;3000;3744.9;2141.2
Восточные Марки;Варос;3000;3040.4;2103.0
Восточные Марки;Ремдел;3000;3658.4;1776.8
Восточные Марки;Ирвен;3000;3690.7;1910.3
Восточные Марки;Мелет;3000;3732.3;2088.4
Нерайская Лига;Нерасса;151000;3401.4;533.6
Нерайская Лига;Маорин;134000;3704.5;375.7
Нерайская Лига;Тейра;121000;3914.3;608.8
Нерайская Лига;Навара;69134;3495.1;313.1
Нерайская Лига;Арулис;62919;4078.1;562.8
Нерайская Лига;Танири;48851;3777.8;331.1
Нерайская Лига;Ориано;42289;3909.9;231.9
Нерайская Лига;Навей;41665;4097.5;491.7
Нерайская Лига;Марей;40912;3481.2;378.9
Нерайская Лига;Ирэла;37112;3511.2;350.1
Нерайская Лига;Аруна;36959;4018.2;708.8
Нерайская Лига;Лаоре;35191;3710.0;311.5
Нерайская Лига;Нерона;34939;3819.5;648.5
Нерайская Лига;Ирелори;28758;3412.9;599.1
Нерайская Лига;Мавири;27565;4181.0;454.1
Нерайская Лига;Валена;26933;4014.4;657.0
Нерайская Лига;Элалис;23901;3378.7;618.4
Нерайская Лига;Тейрона;21188;4063.2;637.7
Нерайская Лига;Оралис;19355;3366.1;579.1
Нерайская Лига;Лимей;15759;3448.8;522.4
Нерайская Лига;Терей;15152;3832.3;250.9
Нерайская Лига;Нарона;14303;3770.2;566.6
Нерайская Лига;Сарона;12348;3630.6;360.8
Нерайская Лига;Талано;11690;3535.4;411.5
Нерайская Лига;Селори;11379;3816.6;315.7
Нерайская Лига;Арутано;10479;3911.6;639.1
Нерайская Лига;Орирасса;10271;3300.6;361.7
Нерайская Лига;Лавей;10146;3682.7;670.2
Нерайская Лига;Ретари;9253;3490.9;624.0
Нерайская Лига;Кавара;9211;3667.8;628.7
Нерайская Лига;Мивири;8819;3860.0;397.9
Нерайская Лига;Нерин;8621;3787.6;617.1
Нерайская Лига;Ирелис;8564;3887.8;666.5
Нерайская Лига;Мари;8553;3497.4;504.7
Нерайская Лига;Ватано;8518;3655.0;389.9
Нерайская Лига;Элатано;8303;3613.6;444.2
Нерайская Лига;Тейсса;7210;3523.1;611.2
Нерайская Лига;Орарасса;6726;3664.3;429.1
