№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
35;СО035;Илевена;20814;III;907.6;1001.9;1557.6;1081.9;760;928;Фанета;22;винодельческий/ремесленный город
36;СО036;Аутина;20719;III;853.0;611.6;1503.0;691.6;388;489;Дедара;30;винодельческий/ремесленный город
37;СО037;Ролия;20615;III;525.6;558.5;1175.6;638.5;284;334;Белия;21;винодельческий/ремесленный город
38;СО038;Новерел;18611;III;912.2;946.3;1562.2;1026.3;711;864;Солвера;26;винодельческий/ремесленный город
39;СО039;Вена;18475;III;690.2;497.7;1340.2;577.7;212;258;Десена;26;винодельческий/ремесленный город
40;СО040;Терия;18036;III;573.8;518.4;1223.8;598.4;231;267;Аудара;21;винодельческий/ремесленный город
41;СО041;Лелора;17518;III;433.7;712.4;1083.7;792.4;462;543;Ветина;21;винодельческий/ремесленный город
42;СО042;Метина;16695;III;790.2;565.9;1440.2;645.9;316;396;Делора;21;винодельческий/ремесленный город
43;СО043;Калетина;16662;III;1041.1;804.6;1691.1;884.6;656;800;Летора;26;винодельческий/ремесленный город
44;СО044;Фария;16251;III;1057.3;836.6;1707.3;916.6;691;842;Мерена;25;винодельческий/ремесленный город
45;СО045;Оредара;15861;III;1003.0;816.6;1653.0;896.6;642;788;Тарена;25;винодельческий/ремесленный город
46;СО046;Сатора;15171;III;492.7;596.2;1142.7;676.2;332;408;Селена;23;винодельческий/ремесленный город
47;СО047;Сарелла;14978;IV;649.2;444.7;1299.2;524.7;152;202;Соленета;21;винодельческий/ремесленный город
48;СО048;Десена;14889;IV;715.5;502.0;1365.5;582.0;225;288;Илетала;25;винодельческий/ремесленный город
49;СО049;Тарена;14884;IV;1015.9;795.3;1665.9;875.3;633;768;Лусса;23;винодельческий/ремесленный город
50;СО050;Бенета;14764;IV;304.2;909.0;954.2;989.0;696;829;Фасера;21;винодельческий/ремесленный город
51;СО051;Аветора;14762;IV;546.3;531.8;1196.3;611.8;252;294;Тесена;25;винодельческий/ремесленный город
52;СО052;Фаверна;14756;IV;454.7;708.1;1104.7;788.1;450;519;Ветина;21;винодельческий/ремесленный город
53;СО053;Мадара;14638;IV;903.9;826.5;1553.9;906.5;599;737;Велира;20;винодельческий/ремесленный город
54;СО054;Каремера;14612;IV;767.8;574.3;1417.8;654.3;312;393;Вавел;21;винодельческий/ремесленный город
55;СО055;Лусса;14461;IV;1004.6;775.7;1654.6;855.7;610;741;Меретта;20;винодельческий/ремесленный город
56;СО056;Вария;14381;IV;617.4;359.4;1267.4;439.4;67;81;Дена;22;винодельческий/ремесленный город
57;СО057;Лана;14355;IV;681.6;470.5;1331.6;550.5;184;242;Соленета;22;винодельческий/ремесленный город
58;СО058;Илесса;14233;IV;833.5;675.9;1483.5;755.9;433;537;Денета;22;винодельческий/ремесленный город
59;СО059;Аумара;13935;IV;592.8;323.4;1242.8;403.4;47;56;Тасера;24;винодельческий/ремесленный город
60;СО060;Ровел;13907;IV;784.2;588.8;1434.2;668.8;333;418;Каремера;22;винодельческий/ремесленный город
61;СО061;Новевия;13779;IV;807.7;660.8;1457.7;740.8;408;508;Велера;21;винодельческий/ремесленный город
62;СО062;Ветина;13766;IV;447.2;728.0;1097.2;808.0;471;543;Лелора;21;винодельческий/ремесленный город
63;СО063;Тетала;13721;IV;596.9;397.8;1246.9;477.8;109;133;Белмара;22;винодельческий/ремесленный город
64;СО064;Лерена;13591;IV;506.6;641.4;1156.6;721.4;369;450;Фавел;24;винодельческий/ремесленный город
65;СО065;Мевена;13490;IV;890.4;929.4;1540.4;1009.4;687;830;Новесена;24;винодельческий/ремесленный город
66;СО066;Делвена;13307;IV;539.1;607.6;1189.1;687.6;327;394;Фавел;24;винодельческий/ремесленный город
67;СО067;Фарена;12908;IV;933.5;988.3;1583.5;1068.3;758;919;Солвера;21;винодельческий/ремесленный город
68;СО068;Оресера;12571;IV;627.3;268.8;1277.3;348.8;25;31;Аурелл;25;винодельческий/ремесленный город
69;СО069;Савел;12545;IV;950.6;749.0;1600.6;829.0;557;688;Лумара;29;винодельческий/ремесленный город
70;СО070;Серел;12330;IV;937.4;663.7;1587.4;743.7;481;601;Тамера;26;винодельческий/ремесленный город
71;СО071;Дерена;12237;IV;974.4;732.2;1624.4;812.2;557;698;Маверна;20;винодельческий/ремесленный город
72;СО072;Тамера;12199;IV;913.3;674.0;1563.3;754.0;474;585;Лумера;23;винодельческий/ремесленный город
73;СО073;Берия;12083;IV;881.3;639.5;1531.3;719.5;427;536;Дедара;22;винодельческий/ремесленный город
74;СО074;Авесера;11630;IV;897.4;858.8;1547.4;938.8;625;751;Оререл;29;винодельческий/ремесленный город
75;СО075;Катала;11596;IV;643.8;411.5;1293.8;491.5;118;163;Каремара;30;винодельческий/ремесленный город
76;СО076;Малора;10688;IV;415.1;728.0;1065.1;808.0;484;569;Лелора;24;винодельческий/ремесленный город
77;СО077;Оресса;10609;IV;818.2;620.8;1468.2;700.8;377;467;Лусаль;25;винодельческий/ремесленный город
78;СО078;Лунета;10486;IV;890.5;718.4;1540.5;798.4;498;614;Мерел;21;винодельческий/ремесленный город
79;СО079;Солетала;10227;IV;424.3;783.7;1074.3;863.7;531;619;Мелия;22;винодельческий/ремесленный город
80;СО080;Вадара;10160;IV;378.4;809.4;1028.4;889.4;574;671;Терел;24;винодельческий/ремесленный город
81;СО081;Лавесса;10133;IV;250.8;967.2;900.8;1047.2;773;931;Лутора;24;винодельческий/ремесленный город
82;СО082;Илетала;10105;IV;739.5;509.7;1389.5;589.7;242;316;Десена;25;винодельческий/ремесленный город
83;СО083;Аулера;10027;IV;1062.9;864.9;1712.9;944.9;717;878;Талия;26;винодельческий/ремесленный город
84;СО084;Ровера;9973;IV;654.6;263.0;1304.6;343.0;40;50;Аверел;23;винодельческий/ремесленный город
85;СО085;Новерия;9261;IV;861.0;684.0;1511.0;764.0;453;570;Калено;22;винодельческий/ремесленный город
86;СО086;Тесена;9027;IV;551.9;556.7;1201.9;636.7;274;325;Аветора;25;винодельческий/ремесленный город
87;СО087;Мерел;8917;IV;872.5;728.9;1522.5;808.9;498;605;Лунета;21;винодельческий/ремесленный город
88;СО088;Лусена;8912;IV;409.9;801.5;1059.9;881.5;553;647;Солетала;23;винодельческий/ремесленный город
89;СО089;Фанета;8757;IV;908.6;979.6;1558.6;1059.6;740;906;Солвера;22;винодельческий/ремесленный город
90;СО090;Оретора;8588;IV;490.7;664.0;1140.7;744.0;395;485;Ровена;23;винодельческий/ремесленный город
91;СО091;Савена;8391;IV;701.9;461.2;1351.9;541.2;182;259;Лана;22;винодельческий/ремесленный город
92;СО092;Сесса;7989;IV;347.1;879.1;997.1;959.1;650;764;Левера;25;винодельческий/ремесленный город
93;СО093;Делора;7719;IV;777.1;549.9;1427.1;629.9;295;372;Метина;21;винодельческий/ремесленный город
94;СО094;Талия;7684;IV;1089.2;863.8;1739.2;943.8;732;892;Аулера;26;винодельческий/ремесленный город
95;СО095;Белия;7612;IV;527.4;579.3;1177.4;659.3;303;360;Ролия;21;винодельческий/ремесленный город
96;СО096;Аветала;7569;IV;885.2;886.4;1535.2;966.4;645;786;Новесена;23;винодельческий/ремесленный город
97;СО097;Тавена;7524;IV;578.1;442.2;1228.1;522.2;157;191;Ротала;35;винодельческий/ремесленный город
98;СО098;Марелла;7041;IV;319.6;857.0;969.6;937.0;643;762;Ладара;23;винодельческий/ремесленный город
99;СО099;Белмара;7038;IV;575.5;402.5;1225.5;482.5;121;156;Тетала;22;винодельческий/ремесленный город
100;СО100;Лулия;6935;IV;723.5;533.9;1373.5;613.9;257;318;Илетала;29;винодельческий/ремесленный город
101;СО101;Соледара;6563;IV;631.3;131.8;1281.3;211.8;162;205;Калелена;22;винодельческий/ремесленный город
102;СО102;Валера;6170;IV;910.8;788.9;1560.8;868.9;569;690;Бесера;26;винодельческий/ремесленный город
103;СО103;Ладара;5973;IV;303.4;873.5;953.4;953.5;665;789;Левера;20;винодельческий/ремесленный город
104;СО104;Илелия;5734;IV;930.7;714.3;1580.7;794.3;517;640;Сасера;26;винодельческий/ремесленный город
105;СО105;Аудара;5722;IV;576.4;497.5;1226.4;577.5;210;243;Рория;20;винодельческий/ремесленный город
106;СО106;Рория;5720;IV;557.4;489.9;1207.4;569.9;209;244;Аудара;20;винодельческий/ремесленный город
107;СО107;Новетала;5600;IV;645.6;206.6;1295.6;286.6;89;110;Марена;23;винодельческий/ремесленный город
108;СО108;Вемара;5551;IV;1024.7;767.0;1674.7;847.0;616;752;Лусса;22;винодельческий/ремесленный город
109;СО109;Телора;5218;IV;254.6;923.5;904.6;1003.5;733;892;Лутора;24;винодельческий/ремесленный город
110;СО110;Летора;5108;IV;1066.5;800.9;1716.5;880.9;669;830;Калетина;26;винодельческий/ремесленный город
111;СО111;Тавелла;4993;IV;582.5;546.5;1232.5;626.5;257;302;Терия;29;винодельческий/ремесленный город
112;СО112;Солвера;4751;IV;927.0;968.2;1577.0;1048.2;737;894;Фарена;21;винодельческий/ремесленный город
113;СО113;Фатала;4495;IV;931.6;926.2;1581.6;1006.2;700;854;Фалена;27;винодельческий/ремесленный город
114;СО114;Оререл;4436;IV;910.1;884.5;1560.1;964.5;654;786;Аветала;25;винодельческий/ремесленный город
115;СО115;Салера;4395;IV;672.7;90.4;1322.7;170.4;208;250;Садара;24;винодельческий/ремесленный город
116;СО116;Серена;4286;IV;1082.5;832.7;1732.5;912.7;704;870;Фария;26;винодельческий/ремесленный город
117;СО117;Дедара;4126;IV;859.0;640.7;1509.0;720.7;416;526;Денета;21;винодельческий/ремесленный город
118;СО118;Тарел;3775;IV;625.0;163.0;1275.0;243.0;131;188;Сетала;25;винодельческий/ремесленный город
119;СО119;Бетора;3649;IV;792.6;628.5;1442.6;708.5;372;466;Оресса;27;винодельческий/ремесленный город
120;СО120;Аверел;3598;IV;643.2;243.3;1293.2;323.3;52;68;Марена;22;винодельческий/ремесленный город
121;СО121;Марена;3534;IV;656.7;226.3;1306.7;306.3;73;92;Аверел;22;винодельческий/ремесленный город
122;СО122;Маверна;3505;IV;978.9;712.4;1628.9;792.4;545;674;Дерена;20;винодельческий/ремесленный город
123;СО123;Лумара;3488;IV;975.6;763.0;1625.6;843.0;583;722;Меретта;20;винодельческий/ремесленный город
124;СО124;Соленета;3401;IV;669.1;452.0;1319.1;532.0;163;218;Сарелла;21;винодельческий/ремесленный город
125;СО125;Вавел;3386;IV;753.1;589.7;1403.1;669.7;320;418;Каремера;21;винодельческий/ремесленный город
126;СО126;Лалена;3378;IV;587.1;356.5;1237.1;436.5;76;92;Вария;30;винодельческий/ремесленный город
127;СО127;Илелена;3341;IV;343.0;842.3;993.0;922.3;619;733;Кария;23;винодельческий/ремесленный город
128;СО128;Аусена;3322;IV;905.5;759.6;1555.5;839.6;541;665;Ватора;23;винодельческий/ремесленный город
129;СО129;Ровена;3234;IV;502.9;683.0;1152.9;763.0;409;500;Оретора;23;винодельческий/ремесленный город
130;СО130;Новелора;3227;IV;816.9;576.1;1466.9;656.1;338;429;Лусаль;20;винодельческий/ремесленный город
131;СО131;Весена;3142;IV;562.1;585.2;1212.1;665.2;299;353;Тесена;30;винодельческий/ремесленный город
132;СО132;Тевера;3139;IV;446.5;766.6;1096.5;846.6;507;589;Ланета;22;винодельческий/ремесленный город
133;СО133;Лелера;3127;IV;661.4;147.3;1311.4;227.3;150;183;Калелена;22;винодельческий/ремесленный город
134;СО134;Мерена;3089;IV;1034.2;845.5;1684.2;925.5;684;838;Фария;25;винодельческий/ремесленный город
135;СО135;Фалена;3072;IV;937.8;900.3;1587.8;980.3;680;824;Фатала;27;винодельческий/ремесленный город
136;СО136;Фасера;3035;IV;304.2;929.5;954.2;1009.5;714;853;Бенета;21;винодельческий/ремесленный город
137;СО137;Орерия;3001;IV;852.0;747.9;1502.0;827.9;505;619;Мерел;28;винодельческий/ремесленный город
138;СО138;Садара;3000;IV;649.4;85.9;1299.4;165.9;209;255;Салера;24;винодельческий/ремесленный город
139;СО139;Селена;3000;IV;494.7;619.4;1144.7;699.4;352;435;Сатора;23;винодельческий/ремесленный город
140;СО140;Денета;3000;IV;847.4;658.7;1497.4;738.7;425;536;Велера;21;винодельческий/ремесленный город
141;СО141;Татина;3000;IV;907.0;634.7;1557.0;714.7;439;567;Лумера;21;винодельческий/ремесленный город
142;СО142;Белена;3000;IV;286.1;956.1;936.1;1036.1;746;892;Лутора;25;винодельческий/ремесленный город
