№;ID;Город;Население;Класс;X_км;Y_км;X_Лиаверн_км;Y_Лиаверн_км;Прямая_до_центра_км;Маршрутная_до_центра_км;Ближайший_город;Прямая_до_ближайшего_км;Роль
22;НЕ022;Нарона;14303;IV;590.2;446.6;3770.2;566.6;370;556;Тейлена;42;островной городок/промысловый порт
23;НЕ023;Сарона;12348;IV;450.6;240.8;3630.6;360.8;287;354;Ватано;38;островной городок/промысловый порт
24;НЕ024;Талано;11690;IV;355.4;291.5;3535.4;411.5;181;231;Лавара;40;островной городок/промысловый порт
25;НЕ025;Селори;11379;IV;636.6;195.7;3816.6;315.7;469;540;Танири;42;островной городок/промысловый порт
26;НЕ026;Арутано;10479;IV;731.6;519.1;3911.6;639.1;521;720;Тейра;30;островной городок/промысловый порт
27;НЕ027;Орирасса;10271;IV;120.6;241.7;3300.6;361.7;199;241;Нарасса;133;островной городок/промысловый порт
28;НЕ028;Лавей;10146;IV;502.7;550.2;3682.7;670.2;313;428;Кавара;44;островной городок/промысловый порт
29;НЕ029;Ретари;9253;IV;310.9;504.0;3490.9;624.0;127;182;Тейсса;35;островной городок/промысловый порт
30;НЕ030;Кавара;9211;IV;487.8;508.7;3667.8;628.7;283;421;Лавей;44;островной городок/промысловый порт
31;НЕ031;Мивири;8819;IV;680.0;277.9;3860.0;397.9;478;588;Тевири;64;островной городок/промысловый порт
32;НЕ032;Нерин;8621;IV;607.6;497.1;3787.6;617.1;395;563;Нерона;45;островной городок/промысловый порт
33;НЕ033;Ирелис;8564;IV;707.8;546.5;3887.8;666.5;504;687;Арутано;36;островной городок/промысловый порт
34;НЕ034;Мари;8553;IV;317.4;384.7;3497.4;504.7;100;119;Лимей;52;островной городок/промысловый порт
35;НЕ035;Ватано;8518;IV;475.0;269.9;3655.0;389.9;291;396;Сарона;38;островной городок/промысловый порт
36;НЕ036;Элатано;8303;IV;433.6;324.2;3613.6;444.2;230;329;Ретано;22;островной городок/промысловый порт
37;НЕ037;Тейсса;7210;IV;343.1;491.2;3523.1;611.2;144;205;Ретари;35;островной городок/промысловый порт
38;НЕ038;Орарасса;6726;IV;484.3;309.1;3664.3;429.1;283;390;Ватано;40;островной городок/промысловый порт
39;НЕ039;Ливей;6425;IV;777.5;490.1;3957.5;610.1;561;781;Тейра;43;островной городок/промысловый порт
40;НЕ040;Терела;5880;IV;719.6;168.6;3899.6;288.6;555;637;Невара;43;островной городок/промысловый порт
41;НЕ041;Нарасса;5673;IV;212.8;337.5;3392.8;457.5;77;93;Нерасса;77;островной городок/промысловый порт
42;НЕ042;Сарин;5637;IV;547.4;214.0;3727.4;334.0;382;433;Лаоре;28;островной городок/промысловый порт
43;НЕ043;Севара;5613;IV;607.3;611.9;3787.3;731.9;434;577;Нерона;89;островной городок/промысловый порт
44;НЕ044;Арунира;5093;IV;860.3;236.1;4040.3;356.1;663;826;Налина;133;островной городок/промысловый порт
45;НЕ045;Орилори;4550;IV;582.0;128.8;3762.0;248.8;459;558;Терей;70;островной городок/промысловый порт
46;НЕ046;Лари;4423;IV;986.1;396.0;4166.1;516.0;765;955;Милина;25;островной городок/промысловый порт
47;НЕ047;Ретано;4104;IV;451.8;337.2;3631.8;457.2;243;355;Элатано;22;островной городок/промысловый порт
48;НЕ048;Кавей;4064;IV;363.1;543.6;3543.1;663.6;192;262;Тейсса;56;островной городок/промысловый порт
49;НЕ049;Милина;4052;IV;972.0;375.4;4152.0;495.4;752;972;Лари;25;островной городок/промысловый порт
50;НЕ050;Невара;3939;IV;678.5;181.0;3858.5;301.0;513;592;Терела;43;островной городок/промысловый порт
51;НЕ051;Иререла;3763;IV;919.3;391.7;4099.3;511.7;698;911;Навей;20;островной городок/промысловый порт
52;НЕ052;Варела;3720;IV;427.0;197.9;3607.0;317.9;298;365;Арурасса;45;островной городок/промысловый порт
53;НЕ053;Эласса;3690;IV;929.6;558.6;4109.6;678.6;723;961;Тейрона;62;островной городок/промысловый порт
54;НЕ054;Тейлена;3368;IV;550.3;458.3;3730.3;578.3;332;518;Нарона;42;островной городок/промысловый порт
55;НЕ055;Орарона;3030;IV;743.5;558.6;3923.5;678.6;542;731;Ирелис;38;островной городок/промысловый порт
56;НЕ056;Лилано;3000;IV;1016.3;366.0;4196.3;486.0;796;1004;Мавири;35;островной городок/промысловый порт
57;НЕ057;Тевири;3000;IV;615.9;283.3;3795.9;403.3;415;514;Танира;22;островной городок/промысловый порт
58;НЕ058;Налина;3000;IV;969.4;311.5;4149.4;431.5;755;978;Мавири;39;островной городок/промысловый порт
59;НЕ059;Сарела;3000;IV;486.5;172.1;3666.5;292.1;359;443;Лаоре;48;островной городок/промысловый порт
60;НЕ060;Танира;3000;IV;602.3;300.0;3782.3;420.0;397;492;Тевири;22;островной городок/промысловый порт
61;НЕ061;Арурасса;3000;IV;383.7;208.8;3563.7;328.8;261;341;Варела;45;островной городок/промысловый порт
62;НЕ062;Оривей;3000;IV;574.6;298.8;3754.6;418.8;371;461;Танира;28;островной городок/промысловый порт
63;НЕ063;Лавара;3000;IV;384.3;264.3;3564.3;384.3;221;276;Талано;40;островной городок/промысловый порт
