;Дарен;Ирет;Увар;Девин;Олвен;Ремар;Керан;Эндар;Мелин;Талес;Тердар;Варлен;Ремлан;Ирлан;Мелрен;Велтал;Фарден;Умар;Девос;Сардел;Энден;Касир;Йортен;Таллан;Дармар;Керос;Эйор;Терлен;Олет;Варис;Ремден;Ирдел;Мелвар;Велден;Уран;Девдар;Сарвен;Атен;Касмар;Йорвен;Талос;Дарлан;Керор;Терсар;Олор;Варос;Ремдел;Ирвен;Мелет
Мелрен;84;672;390;33;540;73;389;422;619;217;179;379;488;142;0;400;735;451;603;383;527;345;252;791;146;199;416;263;809;765;289;293;712;108;563;468;397;472;81;582;372;31;329;412;523;311;400;412;490
Велтал;411;353;721;370;250;337;74;87;312;580;251;175;191;514;400;0;408;202;344;118;235;688;614;457;275;569;57;201;478;437;643;182;390;487;285;786;99;212;460;314;709;407;176;24;219;660;158;26;165
Фарден;706;64;1104;702;573;663;371;470;117;944;556;357;537;871;735;408;0;285;656;359;208;1065;980;57;589;929;444;472;74;30;1014;442;24;840;602;1175;352;263;811;628;1089;753;406;417;543;1033;335;383;501
Умар;422;222;826;418;445;378;132;289;168;662;272;72;389;588;451;202;285;0;540;96;78;785;698;342;305;646;258;187;359;315;732;158;262;556;480;899;106;22;528;509;810;470;121;223;412;753;58;179;359
Девос;654;622;767;584;95;571;418;259;599;692;532;519;154;653;603;344;656;540;0;463;550;754;716;686;539;691;288;520;709;679;731;510;647;641;60;805;443;544;622;31;763;592;515;321;127;738;501;364;181
Сардел;370;297;745;351;369;312;45;205;247;587;208;57;309;515;383;118;359;96;463;0;156;707;623;414;239;573;175;130;433;389;656;101;337;484;403;816;24;112;456;432;730;399;75;142;337;675;41;100;282
Энден;500;145;898;494;457;454;178;315;92;736;348;148;406;663;527;235;208;78;550;156;0;858;773;265;381;721;285;264;282;238;807;234;185;631;490;970;155;56;603;520;883;545;198;252;424;827;128;209;373
Касир;407;1003;50;375;730;414;701;675;951;129;517;713;698;203;345;688;1065;785;754;707;858;0;95;1120;484;148;682;600;1139;1095;58;627;1043;237;739;130;715;806;263;746;29;320;664;692;727;34;731;707;715
Йортен;312;917;144;284;681;323;620;609;865;36;427;626;644;110;252;614;980;698;716;623;773;95;0;1036;395;54;613;511;1054;1010;37;540;958;144;694;224;633;720;172;704;124;229;577;619;674;61;645;631;657
Таллан;763;120;1159;759;607;719;423;514;174;1000;613;413;575;927;791;457;57;342;686;414;265;1120;1036;0;645;985;490;529;23;30;1069;499;81;896;634;1229;406;320;867;660;1144;809;462;464;579;1089;391;432;540
Дармар;137;526;527;113;461;74;250;317;473;359;33;233;403;285;146;275;589;305;539;239;381;484;395;645;0;342;303;117;663;619;430;147;566;252;490;603;255;326;224;514;510;166;183;291;438;451;254;281;395
Керос;259;866;196;230;650;270;572;569;814;21;375;574;610;58;199;569;929;646;691;573;721;148;54;985;342;0;571;459;1003;959;91;488;907;91;665;276;584;668;119;677;177;177;525;576;642;114;594;585;621
Эйор;438;393;712;388;194;359;130;31;356;580;284;231;134;518;416;57;444;258;288;175;285;682;613;490;303;571;0;246;512;473;641;231;428;494;229;773;156;266;468;258;701;419;229;34;163;656;214;79;109
Терлен;241;409;642;230;432;191;153;269;356;475;84;115;370;401;263;201;472;187;520;130;264;600;511;529;117;459;246;0;546;502;546;31;449;369;464;716;150;209;341;491;625;283;66;223;403;567;139;198;353
Олет;779;137;1178;776;630;736;444;536;190;1018;630;430;598;945;809;478;74;359;709;433;282;1139;1054;23;663;1003;512;546;0;44;1088;516;97;914;657;1248;426;337;885;683;1163;827;480;486;602;1108;409;454;562
Варис;736;93;1134;732;597;693;401;498;147;974;586;387;563;902;765;437;30;315;679;389;238;1095;1010;30;619;959;473;502;44;0;1044;472;53;870;626;1205;382;293;841;652;1119;783;436;446;568;1064;366;412;527
Ремден;349;951;107;320;700;359;652;635;899;72;463;660;665;147;289;643;1014;732;731;656;807;58;37;1069;430;91;641;546;1088;1044;0;574;991;180;712;187;666;754;208;720;86;265;611;648;695;23;679;661;680
Ирдел;271;379;669;260;420;220;127;256;326;504;114;86;359;430;293;182;442;158;510;101;234;627;540;499;147;488;231;31;516;472;574;0;419;398;453;743;122;180;369;481;653;312;37;204;391;595;108;176;339
Мелвар;683;40;1082;679;562;640;350;454;94;922;533;334;524;849;712;390;24;262;647;337;185;1043;958;81;566;907;428;449;97;53;991;419;0;817;592;1153;331;240;788;619;1067;731;383;400;532;1011;313;364;489
Велден;174;776;283;140;591;180;485;495;724;108;285;484;546;34;108;487;840;556;641;484;631;237;144;896;252;91;494;369;914;870;180;398;817;0;609;362;496;578;29;624;264;86;435;496;579;203;504;502;553
Уран;610;566;755;543;34;526;358;200;542;668;481;460;95;623;563;285;602;480;60;403;490;739;694;634;490;665;229;464;657;626;712;453;592;609;0;798;383;484;589;29;750;554;456;261;67;720;441;304;121
Девдар;534;1113;80;497;794;536;806;762;1062;256;635;827;771;328;468;786;1175;899;805;816;970;130;224;1229;603;276;773;716;1248;1205;187;743;1153;362;798;0;823;920;387;800;100;441;779;787;796;163;843;807;792
Сарвен;388;291;753;365;348;327;27;187;243;598;225;80;290;527;397;99;352;106;443;24;155;715;633;406;255;584;156;150;426;382;666;122;331;496;383;823;0;119;468;412;738;411;99;122;316;684;59;79;262
Атен;444;200;847;440;450;400;145;297;147;683;294;94;395;610;472;212;263;22;544;112;56;806;720;320;326;668;266;209;337;293;754;180;240;578;484;920;119;0;549;514;831;492;143;232;417;774;77;187;364
Касмар;153;748;309;112;569;152;457;469;695;136;256;455;523;61;81;460;811;528;622;456;603;263;172;867;224;119;468;341;885;841;208;369;788;29;589;387;468;549;0;605;290;58;406;469;556;229;476;474;529
Йорвен;631;593;760;562;64;547;387;228;570;679;505;489;123;637;582;314;628;509;31;432;520;746;704;660;514;677;258;491;683;652;720;481;619;624;29;800;412;514;605;0;756;572;485;290;97;728;471;333;151
Талос;435;1027;21;402;742;441;723;693;975;157;542;738;713;230;372;709;1089;810;763;730;883;29;124;1144;510;177;701;625;1163;1119;86;653;1067;264;750;100;738;831;290;756;0;346;689;712;740;63;755;728;731
Дарлан;114;690;364;56;533;95;401;422;638;193;199;398;483;119;31;407;753;470;592;399;545;320;229;809;166;177;419;283;827;783;265;312;731;86;554;441;411;492;58;572;346;0;348;417;517;286;418;420;487
Керор;305;343;705;296;423;257;111;257;290;540;150;49;362;467;329;176;406;121;515;75;198;664;577;462;183;525;229;66;480;436;611;37;383;435;456;779;99;143;406;485;689;348;0;200;392;632;74;165;339
Терсар;427;364;723;382;227;351;97;65;325;586;269;199;168;521;412;24;417;223;321;142;252;692;619;464;291;576;34;223;486;446;648;204;400;496;261;787;122;232;469;290;712;417;200;0;195;664;181;45;141
Олор;563;504;747;500;33;480;292;135;478;646;426;394;35;596;523;219;543;412;127;337;424;727;674;579;438;642;163;403;602;568;695;391;532;579;67;796;316;417;556;97;740;517;392;195;0;706;375;237;54
Варос;373;971;83;341;709;381;670;649;919;95;484;681;676;169;311;660;1033;753;738;675;827;34;61;1089;451;114;656;567;1108;1064;23;595;1011;203;720;163;684;774;229;728;63;286;632;664;706;0;699;678;692
Ремдел;378;272;771;367;407;328;84;245;220;609;222;30;348;536;400;158;335;58;501;41;128;731;645;391;254;594;214;139;409;366;679;108;313;504;441;843;59;77;476;471;755;418;74;181;375;699;0;137;320
Ирвен;418;328;741;381;270;347;56;110;286;597;256;158;212;529;412;26;383;179;364;100;209;707;631;432;281;585;79;198;454;412;661;176;364;502;304;807;79;187;474;333;728;420;165;45;237;678;137;0;183
Мелет;524;459;739;465;87;442;237;83;430;627;381;339;36;573;490;165;501;359;181;282;373;715;657;540;395;621;109;353;562;527;680;339;489;553;121;792;262;364;529;151;731;487;339;141;54;692;320;183;0
